{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.15869} 另一个迟缓的秩序者？饶了我吧。我需要医生，立即！我在这里无聊得要死。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.55384} 是，我的症状……丹科夫斯基医生，我正在发疯。你当然知道，这对我们这些从事智力劳动的人来说是职业风险。肉体疾患折磨普通人和草原野蛮人，而认知的发展会带来某种对……心智疾病的易感性。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.45108} 这是迷信。任何人都可能罹患身体疾病和精神疾病。没有什么高贵的病痛，也没有什么平民的灾祸。面对疾病，我们人人平等。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.54938} 我很怀疑。不过我相信证据会说服你：我有幻觉。清醒的梦。前一分钟我还走在街上，下一刻……我迷失了。我认不出周围……相信我，没受教育的人不会有这种幻觉！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.44268} 幻觉？哪一种？视觉？听觉？内脏感？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.10117} 哦，全都有！我被带到另一个地方，另一个时间！连我的身体都不同了……它衰老，因年岁而变形。而这甚至还不是最糟的。我看见自己老了，并且……一事无成。没有任何发现，没有科学突破，没有遗产……
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.55191} 嗯，至少这一点我能理解。我自己也曾从这种噩梦里冷汗淋漓地醒来。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.2766} 连一株杂草都不以我的名字命名！没有一间讲堂挂着我的肖像！我是个将死的老庸人，一事无成！而它那么真实……那么可怕……可怕得令人信服……
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.29629} 嗯。幻觉是严重症状。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.33274} 拜托，丹科夫斯基医生，给我开点能让它停下来的药！即使副作用严重——只要不再看见这个噩梦，我什么都能忍！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.52654} 开药之前我必须先检查你。绝不能忽视身体疾病的可能。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.161} 你介意我取些样本吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.44678} 艾米莉亚，我会尽快处理你的病例。但不是现在。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.47185} 也许你只是让情绪压过了理智。你在把自己越绷越紧。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.58698} 等等。你说这些幻象是在散步时发生的。你记得地点吗？会不会是在中庭？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.13298} 你还指望我记住这个地狱坑的地理？很难。我只能告诉你，我一直沿着凯恩宅邸的河岸走。那是城里唯一还能看得下去的地方。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.24305} 中庭其实离凯恩家不远。那里有一条街，人们会经历怪事。你以为的幻觉，可能和它同源。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.44038} 所以我没疯？只是……某条街的恶性影响？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.65486} 检查你之前，我不能贸然下结论。绝不能忽视身体疾病的可能。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.6217} 有这个可能。你得等一等。我还没完成你的诊断。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.37798} 也许是我弄错了。算了，忘了它吧。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.55931} 我会说，在这种时代，变老……是一种奢侈。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.60442} 我理解。有时候我也忍不住想，如果我是个简单些的人，或许能少掉许多忧虑。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.24986} 我就知道你会理解。偏偏是你……你一定知道那种感觉。我有幻觉。清醒的梦。前一分钟我还走在街上，下一刻……我迷失了。我认不出周围……这不会发生在普通人身上。这是精致心智的病！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.40893} 精神疾患不是我的专长。但我会试着弄清楚。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.52130} 我有幻觉。清醒的梦。前一分钟我还走在街上，下一刻……我迷失了。我认不出周围……相信我，没受教育的人不会有这种幻觉！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Interview.11051} 说重点。我时间很紧。
