{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.13602} 嘿！你认为你在做什么？ 帮助！入室盗窃！我抓住你了，你这个骗子！我要给你吃指关节三明治！斯特莎是对的，把一间漂亮的房子空着，老鼠就会爬进来！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.20555} 别紧张，孩子。冷静。你吓到邻居了。我不是窃贼。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.25752} 是我买的，没错，但她没等任何人。全是给她自己的。我第一次跑店里时，不知道她胃口多大。她饿得厉害。所以我得跑两趟。现在我一次全扛回来，但按两趟收费。有时三趟。每天都不一样。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.10232} 她每天都派你去？而且东西重到足够让你收三倍跑腿费？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.11218} 嘿，我不是骗子，先生！这是公平买卖。不给白食，也不靠施舍。她要特别重的一份，就付三倍，这是正经价钱。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.27721} 明白了。你是个精明的小商人。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.41449} 那枚镍币呢，先生？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.12082} 有意思。饮食习惯改变，加上虚弱和体重下降。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.12566} 你还注意到她别的情况吗？她行为奇怪吗？自言自语？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.56324} 没有，我觉得没有……嗯，昨天她多给了我钱。她数了三遍，还是给多了。我倒没不高兴！我还以为她也许喝醉了……可她没叫我出去买酒。这点我敢肯定。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.35894} 现在听好，小商人。艾米莉亚因为沙疫住进医院了。跑回家告诉你娘和姐妹。你们都必须尽快检查。听见了吗？现在去！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.13882} 所以，你是她的跑腿小子？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.20607} 嘿！我不是跑腿，我是在做买卖！这是有报酬的活，懂吗？她以前自己拎袋子，也搬她那些稀稀拉拉的蠢花盆。后来她累了，开始叫我出去买吃的。现在……我的辛苦费能给一枚镍币吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.29807} 掏眼人？那又是谁？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.24220} 斯特莎告诉我的。他就是个普通男人，没什么特别。跟你一样。总戴手套！专偷熬夜孩子的眼睛。但只要念咒，再往眼里撒盐，他就不会吃掉它们。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.6949} 盐不会让眼睛更入味吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.18822} 行了行了……你不是真的。真怪物不会开玩笑。那你在这里干什么，先生？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.15372} 你是不是有点大了，还信童话？你真相信这种胡话？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.21330} 听着，如果你不是贼，也不是掏眼人，那就告诉我：你在这里干什么？
