{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.12118} 嘿，嘿，别分心！继续，好好搜，不然我们就把你放倒在这些人中间，听见没有？
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.9880} 你们把一个孩子饿死了，现在想把责任推到我身上？
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.21745} 事情就是这样。谁是凶手？把他关进笼子的人，还是能救却不救的人？你怎么想，医生？你为什么没来？
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.26344} 对不起。请所有人原谅我，我实在无法分身顾及一切。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.60031} 你说第二天？那时他还活着？
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.56110} 是的，我们把他关在仓库那边的笼子里。从没碰过他一根手指！可他还是死了。真希望你当时来了，医生。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.53214} 下次我会来的。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.36189} 我也是。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.32213} 凡事勿轻起，以免事后悔恨。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.15401} 如果你们看见他不舒服，为什么不求助？
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.45801} 你们本可以直接放他走。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.3998} 我们不能。犯罪必须用惩罚偿还。这是条约。我作为首领的职责，就是遵守条约。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.27088} 条约见鬼去吧！你到底明不明白发生了什么？死亡会让任何条约失效。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.9929} 所有凶手找的借口都差不多。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.42231} 你们这些孩子自己也需要帮助。看看事情都变成什么样了。
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.3584} 你说的那个意外是怎么回事？
{Dialogs2.Days.Day6.Day6_Q12_ChildrenSearch.Day6_Q12_KhanAndNotkin_DeadBody.52058} 那是……大概六天前吧，他们那边一个跳蚤崽子溜进我们地方。想从仓库偷我们的灯。我们抓住了他，把他关进笼子，可他倔得很——不吃也不喝。然后就死了。
