{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.54308} 医生？我想同您谈一种病。也许您知道怎样治好它。我说的是过去之病。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.14253} 我相信什么并不重要。我习惯只信事实。把坟墓给我看——我会考虑能做些什么。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.32292} 很好。把坟墓给我看——我会考虑能做些什么。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.45642} 我没有看见坟墓——只看见他们抬着遗体。那个看守墓地的傻姑娘不让我进去！你知道吗，她那个年纪已经被twyrine（特维酒）毁了？要是我当时拿一瓶酒给她，也许她至少会让我远远看着下葬……
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.54122} 这么说，格蕾丝一直知道西蒙被埋在哪里？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.3535} 如果你真的揭开了一个正在成形的骗局，我会非常感谢你。我已经厌倦西蒙之死周围所有谜团了。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.4611} 我确信你错了。不过我倒想知道，你究竟看见了什么。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.53759} 有一点你必然是对的：玛丽亚必须接受西蒙的死。照看好她。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.898} 那你在这件事里图什么？为什么要告诉我这场秘密埋葬？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.58694} 你错了。不管你看见了什么，那都不可能是西蒙的遗体。不——不可能。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.36398} 你也是这样？也被神话迷住了？而你还是个理性的人……西蒙的亲族太相信他的非凡，以至于没有像埋葬一个人那样埋葬他。他们把他放进了一座无名坟！可悲，且骇人的命运。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.33569} 有意思。你说，为凯恩家办事的人趁夜把什么东西抬进了墓地？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.45981} 我想，不管他的遗体后来发生了什么，确实都足以让许多人困惑……
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.36583} 什么意思，医生？发生了什么事吗？西蒙死的那天，我亲眼看见凯恩家的人把一具裹着尸布的遗体抬向墓地。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.56123} 你到底在暗示什么？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.40682} 玛丽亚·凯纳患的是往昔之疾。那病咬得她太深，连我们每个人都能感觉到。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.52204} 那你又是哪位？
