{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.18215} 丹科夫斯基！哟，朋友。你没碰巧在外头看见什么可疑的人吧？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.10799} 今天开始也未尝不可。你瞧，白骨夫人差一点就把我拽走了，可我还在这儿。我说，该为这事喝一杯！
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.21921} 我不跟生人喝酒。你说白骨夫人？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.25132} 你就不想知道是哪位好心人帮你把死神挡在门外么……朋友？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.30544} 鬼才知道！我就这命。一条总能四脚落地的走运烂命。骷髅脸小姐可太中意我了，就是脸皮薄，不敢动手。不过这回那该死的贱货贴得有点太近了……
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.16586} 你还真是个混账。我把你从必死里救了回来。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.27662} 原来是你！这戏要是再稠点，就能熬成南瓜汤了。首都来的科学开路先锋，竟然救了我！我这么个卑微仓库人，何德何能？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.1143} 这不是为了你。是为了那群想弄死你的蠢货。他们中了你的骗术，现在要是报了仇，把你送进坟里，他们就得背着这份债活下去。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.26268} 死亡是我的敌人。只要是跟它斗，再小的架我都不嫌寒碜。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.27016} 我感兴趣的是斯坦尼斯拉夫·鲁宾。我听说他是你的朋友。是吗？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.31693} 活着……死了，现在又活了。难以置信。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.21098} 要是我不能在所有给我哭丧的人面前从死人堆里爬回来，他们也不会叫我恶徒格里夫！哈哈哈……呃……咳，我这该死的肋边疼得像被狗咬。你在那儿自言自语什么呢？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.29814} 我就在这里见过你的影子。一个死人的影子。我跟它说过话。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.32385} 啊。这个嘛，确实会发生，尤其是早上。顺便说一句，男人比女人更常见。嘿。我还以为酒精对你们这些医生不起作用呢。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.2817} ……我自己已经想明白了，问你也没用。回答我：斯坦尼斯拉夫·鲁宾是你的朋友吗？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.24955} 我没自言自语。你真是斯坦尼斯拉夫·鲁宾的朋友吗？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.26276} ……“朋友”是个很宽松的概念。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.14257} 也很会拧弯，对吧？比如他欠你人情，而你什么都不用还？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.15819} 滚一边去。说起来，我给他全都安排好了，还安置得挺妥帖——可那个蠢脑袋唯一擅长的就是……
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.5536} ……死？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.20357} ……三天前他来找我，要我把他藏起来。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.27179} 他说躲谁了吗？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.26429} 没说，我也没问。他紧张得不能再紧张了。我从没见过他那副样子。看着都扎眼。我把铅笔掉在地上，他一哆嗦，跟听见枪响似的。我把附近一个藏身处的钥匙给了他。昨天过去看看，他已经死了。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.28377} 所以你把他安置到一个立刻就被发现的地方？好藏身处。真安全。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.1487} 那是个像样的藏身处。你要能在这镇上找到更好的，祝你好运。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.14789} 一件事有两个人知道，就连猪都知道了。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.2101} 怎么，你就这么把钥匙给他了？骗谁呢，格里夫。没钱赚，你连沙发都懒得下。所以这突如其来的慷慨是怎么回事？会不会是你自己杀了他？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.29255} 滚吧，丹科夫斯基。一路滚回你的首都去。用脚走。别忘了带上你的箱子。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.2739} 好吧，别生气，我刚才是一时冲动。所以你是说，他昨天就已经死了。我该查查前天晚上那里发生了什么。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.16455} 我倒真希望我能那么做。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.15619} 别谈哲学了。前些天你帮过他吗？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.30016} 你为什么在意？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.21624} 因为他死了。我在找线索，任何线索。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.16247} 现在是我在问问题。
