{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15610} 你也被赶出来了吗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16611} 把戏！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3506} 没错。他给大家看他那些会动的魔法刺青。黑骷髅在他胸口咔哒咔哒地磨牙。蛇在他皮肤上蜿蜒爬动……从肩膀爬到脖子，又绕满整个脑袋！还有黑公牛在他多毛的背上吃草。\n\n但这还不算完。奎奇凑近去看萨满胸口的一处刺青时，她看见那上面竟然是……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.7493} “她看见”？奎奇是女孩子！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.13354} 对，对不起。奎奇在萨满胸口看见的刺青不是什么骷髅……而是她失踪的爸爸妈妈的脸！那天晚上，像往常一样，莉莉丝和奎奇睡在她们的藏身处里。一个很轻的声音把莉莉丝惊醒了。\n\n她转头去看奎奇……明明天那么黑，她却还是看见妹妹脖子上有刺着的黑蛇在爬！莉莉丝吓坏了，赶紧带奎奇去找水，想把蛇洗掉，可是……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.24575} 蛇咬了她！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1676} 对！那些刺青根本洗不掉，其中一条还爬到了她手心上！\n\n然后奎奇打了姐姐一下，钻进水里不见了，就像在水里化开了一样。莉莉丝不知道该去找谁。镇上只有一个医生，一个英俊得不得了的家伙，名叫……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.28664} 刺青哪能洗掉。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17089} 奎奇打了她一下就跑掉了！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17264} 奎奇像块方糖一样在水里化掉了！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18871} 奎奇！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.23792} 对，正是！奎奇在他胸口看见一幅刺青：一个男孩穿过沙漠，正走向两个人影。那就是他的爸爸妈妈！后来那天夜里，莉莉丝和奎奇睡在藏身处里。一个细小的声音把莉莉丝惊醒了。\n\n她看向奎奇……尽管四周一片漆黑，她还是看见黑蛇刺青正绕着他的脖子爬！莉莉丝吓坏了，带奎奇去找水，想把蛇洗掉，可是……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.27107} 奎奇的爸妈？就是爸爸妈妈！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.526} 对，正是！奎奇在他胸口看见一幅刺青：一个男孩穿过沙漠，正走向两个人影。那就是他的爸爸妈妈！后来那天夜里，莉莉丝和奎奇睡在藏身处里。一个细小的声音把莉莉丝惊醒了。\n\n她看向奎奇……尽管四周一片漆黑，她还是看见黑蛇刺青正绕着他的脖子爬！莉莉丝吓坏了，带奎奇去找水，想把蛇洗掉，可是……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10398} 蛇咬了她！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9925} 对！那些刺青根本洗不掉，其中一条还爬到了她手心上！\n\n然后奎奇打了他姐姐一下，钻进水里不见了，就像在水里化开了一样。莉莉丝不知道该去找谁。镇上只有一个医生，一个英俊得不得了的家伙，名叫……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.22873} 刺青哪能洗掉。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17035} 奎奇打了她一下就跑掉了！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.32326} 对！那些刺青根本洗不掉，其中一条还爬到了她手心上！\n\n然后奎奇挣脱开来，跌进水里，在水中化掉了！莉莉丝不知道该去找谁。镇上只有一个医生，一个英俊得不得了的家伙，名叫……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17615} 奎奇像块方糖一样在水里化掉了！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10586} 对！那些刺青根本洗不掉，其中一条还爬到了她手心上！\n\n然后奎奇挣脱开来，跌进水里，在水中化掉了！莉莉丝不知道该去找谁。镇上只有一个医生，一个英俊得不得了的家伙，名叫……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4390} 瓦尼伊尔·万科夫斯基！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.22327} 对，就是他。关于他能说的可多了，但你最该知道的一点是：他是个<i>好人</i>，绝对不是bokholdoi（博克霍尔多伊）。\n\n这位潇洒的医生检查了莉莉丝手心里那处魔法刺青，阴沉地摇了摇头，又咂了咂舌，像这样：<i>啧啧。</i>这通常可不是什么好兆头……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.23981} 奎奇到底怎么了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.13823} 医生告诉她，巴瓦伊给奎奇染上了一种可怕的病……为了把她从藏身处里引出来，再把她抓走！现在奎奇正穿过草原，一步步走进巴瓦伊那双巨大的熊爪里！所以莉莉丝必须……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.22429} 她爸妈又是怎么回事？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.25382} 医生告诉她，奎奇在萨满胸口看到的爸爸妈妈影像，只是<i>诱饵</i>。萨满巴瓦伊给奎奇染上了一种可怕的病：想念亲人、记住亲人的病。\n\n他就是想用这个把奎奇从藏身处里引出来，再把她掳走。现在奎奇正一步步穿过草原，走进巴瓦伊那双毛茸茸的大熊爪里！所以莉莉丝必须……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.6051} 我<i>最讨厌</i>别人“啧啧”了。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14313} 对，我也是。可医生告诉她，萨满巴瓦伊给奎奇染上了一种可怕的病：想念亲人、记住亲人的病。他就是想借此把奎奇从藏身处里引出来，再把她抓走。\n\n现在奎奇正穿过草原，走进巴瓦伊的巨大熊爪里！所以，为了救她，莉莉丝必须……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14653} 跟着奎奇的脚印走！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16889} 为了找到奎奇，莉莉丝必须让刺青爬满全身，那可疼得要命！所以，为了让刺青长得更快，那位伟大的医生给了她……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18244} 奎奇是女孩！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9421} 啊，<i>对，</i>不好意思。奎奇正穿过草原，走进巴瓦伊那双巨大的熊爪里！所以，为了救她，莉莉丝必须……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.13139} 砍掉自己一条胳膊？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.29545} 老天，当然不是。为了找到奎奇，莉莉丝必须让刺青爬满全身，那可疼得厉害！所以，为了让刺青长得更快，那位伟大的医生给了她……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.27957} 向萨满提出一场光荣的决斗！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.20592} 不不，那像是另一个故事里的东西。我们的萨满其实是个bokholdoi（博克霍尔多伊），用剑跟它打根本没用。\n\n为了找到奎奇，莉莉丝必须让刺青爬满全身，那可疼得厉害！所以，为了让刺青长得更快，那位伟大的医生给了她……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14016} 一瓶墨水！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.19752} 不错。对，莉莉丝把墨水喝了下去，会动的刺青立刻爬满了她全身。她肚子上浮出一张草原地图，于是莉莉丝踏上了寻找奎奇的旅程。她在草原上走了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.20094} 整整一天。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17932} 对，她在草原上走了整整一天……忽然之间，刺着的脚印开始在她皮肤上浮现！那些刺青像在她身上跑来跑去。那是谁的脚印呢……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16695} 豺狗！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4039} 地上也出现了豺狗的足迹。忽然，一整群凶恶的野兽把莉莉丝围了起来！它们眼看就要把莉莉丝撕碎，这时她……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.5351} 发现它们是<i>好</i>豺狗！它们不生她的气！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16912} 嗯……好吧，也可以这么讲。豺狗们生气的对象不是莉莉丝，而是巴瓦伊。那萨满一直在祸害草原上的动物！所以莉莉丝向它们提议……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.20149} 大家结盟！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.30584} 没错。它们结成一伙，一起去对付巴瓦伊。他的巢穴正好就在附近。等它们进去以后，看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9830} 钱。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.24138} <i>什么？</i>你可真要把我气死了。豺狗要钱做什么？\n\n不对，她把奎奇被掳走的事告诉了它们，请它们帮忙，于是大家结成一伙，一起去对付巴瓦伊。他的巢穴就在附近。等它们进去以后，看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.5102} 认出奎奇了！有一只长着奎奇的眼睛！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.12614} 对，正是！豺狗正要把莉莉丝撕成碎片，她却突然唱起歌来……其中一只豺狗认出了那支歌！\n\n那是莉莉丝每晚哄奎奇睡觉时唱的摇篮曲。尽管奎奇已经被变成了豺狗，她还是认出了姐姐。她慢慢靠过来，蹭到莉莉丝身边，开始舔她的眼泪。然后她们……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.19446} 跟它们狠狠干一架，打到<i>你死我活！</i>对！上啊，莉莉丝！把它们全杀了！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10342} 你<i>确定？</i>那些豺狗数量可比她多。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18423} 可莉莉丝有枪。她把它们全都打死了！<i>砰砰砰！</i>
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16438} 嗯……可她的枪是哪儿来的？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.7813} 她就在那儿，从石头底下捡到的呀，正好豺狗围住她的时候！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1718} 那你可走运了。你看，大多数讲故事的人都知道“契诃夫之枪”。可很少有人听过它那个傻乎乎的兄弟：会莫名其妙从石头底下冒出来。\n\n莉莉丝找到的就是<i>这把</i>枪。她朝豺狗一阵开火，直到只剩下一只。可最后那只朝她扑过来时，她开不了枪，因为……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.11845} 她没子弹了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17099} 那可就是这个旅程的悲惨结局了！那只豺狗把她活活咬死，秃鹫把她剩下的尸骨撒得满草原都是。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.30511} 我不喜欢！这故事太糟了。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.2618} 可刚才明明是你自己说她子弹打光了。好吧，那咱们倒回去，算她子弹没打光。其实是别的事发生了：她望进其中一只豺狗的眼睛，然后……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1204} 她也变成豺狗了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.27135} 这故事越来越胡扯了。她干吗偏偏要变成<i>豺狗？</i>恰恰相反，那只豺狗的眼睛她很熟悉。那是奎奇的眼睛！于是，莉莉丝……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.19570} 哭了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.19216} 她哭了。虽然奎奇已经变成了豺狗，可他认出了自己的姐姐，便凑过来，贴着她，还舔去她的眼泪。然后他们一起……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.30906} 奎奇是女孩！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.21485} 啊对，抱歉，我老是忘。莉莉丝和奎奇拥抱了一下，然后一起朝巴瓦伊的巢穴走去。他的巢穴就在附近。等她们走进去，就看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4513} 回家！好耶！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.24425} 什么？可奎奇还是豺狗呢。诅咒总得解开吧？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.8637} 不用。奎奇就喜欢当豺狗。豺狗可酷了！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4087} 我喜欢你的故事，真不错。我也想当豺狗。嗷呜！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1404} 哦，对哦……我们还得给奎奇解咒！不过得先让豺狗奎奇把萨满的脸啃了再说。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17839} 于是莉莉丝和奎奇拥抱了一下，一起朝巴瓦伊的巢穴走去。那地方离得很近，进去之后她们看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.26910} 去找巴瓦伊狠狠干他一顿！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9017} 唱歌？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.2994} 对，她唱起了自己一直用来哄奎奇睡觉的摇篮曲。奎奇认出了那首歌。\n\n她们拥抱了一下，一起朝巴瓦伊的巢穴走去。巢穴离得很近，进去之后她们看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18982} 抱了那只豺狗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17646} 嗯……行吧。她抱住了那只豺狗，她的小弟弟认出了她。奎奇心一软，用人类的声音和莉莉丝说了话。然后她们一起朝巴瓦伊的巢穴走去。\n\n巢穴离得很近，进去以后她们看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.19249} 奎奇是女孩！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.27327} 啊，对，当然。于是这对<i>姐妹</i>拥抱了一下，一起朝巴瓦伊的巢穴走去。巢穴离得很近，进去以后她们看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.6556} 奎奇！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3387} 等等！奎奇这会儿是<i>豺狗</i>啊。那她们怎么会在巢穴里看见他，我是说，看见她？我糊涂了。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.26503} 奎奇！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.31859} 等等！奎奇现在是<i>豺狗</i>，那她们怎么可能在巢穴里看见他？我糊涂了。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.20726} 这是你的故事！快想一个！<i>随便什么都行！</i>
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.6479} 随便什么都行，是吧？那好。巴瓦伊把奎奇的灵魂劈成了<i>两半。</i>一半留在自己身边，另一半则被放出去在草原上游荡。可现在她们要怎么才能把奎奇的灵魂重新拼好呢？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.22538} 给它们两个都唱摇篮曲。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.25780} 那就试试。莉莉丝唱起了摇篮曲……可没用。她的歌声反倒把<i>巴瓦伊本人！</i>给引来了！这下我们的英雄怎么办？莉莉丝又怎么办？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.23027} 我不知道……我害怕！她怎么办呀？！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.13670} 她意识到萨满是个bokholdoi（博克霍尔多伊）。她知道，带着圆满结局的故事，正是bokholdoi（博克霍尔多伊）最害怕的东西！\n\n于是她开始给他讲一个故事：有个叫米什卡的小女孩，正在藏身处里和朋友们玩捉迷藏。可藏身处里的孩子们遇到了危险……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10082} 宰了萨满！把他的脑袋拧下来！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15708} 给他讲个童话！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.12131} 她认出了奎奇！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.26478} 对。虽然奎奇已经变成了豺狗，可他认出了自己的姐姐，便凑了过来，贴住她。然后他们一起……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.21004} 我怎么知道？这是<i>你的</i>故事！快想！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10142} <i>孩子们……</i>行吧。她在旁边一块石头底下捡到了一把枪，朝豺狗们开火，直到只剩下一只。可最后那只扑上来时，她开不了枪，因为……
