{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.13436} 我刚拖完地，你就这么踩上去走来走去！你知道我费了多大劲才拖干净么……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.49400} 重点是菲拉特吐了，这可是没记录过的新症状。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.17870} 我找菲拉特聊了聊，他说他没碰过酒精。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.57545} 难怪他死活不让我进他家门，都是因为他觉得丢人。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.24986} 这么说，你们都挺熟的？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.55858} 你们在这栋楼里住了很久么？你跟他熟么？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.2608} 我们自打穿开裆裤就认识，他跟我家那口子好得跟亲兄弟似的。我给他煮了一辈子饭，拾掇了一辈子屋子。\n\n他没亲没故，平时也独来独往，没人照顾他，我顺手给他做个饭扫个地也不麻烦。街里街坊的，总不能看着不管，再说了，我跟他也是朋友。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.15988} 菲拉特能有你这么个人在身边，真是太走运了。镇子小，镇上的人也都相互熟悉，我都快要羡慕上了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.4829} 那浴室邋遢成那样，都是他的杰作？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.23336} 对。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.5740} 这事儿是不太好……可你咒他染上沙疫也太过了吧？横竖不就是个破浴室……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.16543} 他经常失控发疯么？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.712} 我是个医生，菲拉特是我的病人。查清楚他到底得了什么病，这是我的职责所在。<b>你</b>的命说不定也系在这上面呢。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.24291} 菲拉特现在在住院观察，我来这儿是想弄清楚他到底得了什么病。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.31645} 嚯，一片狼藉呀！真了不得。究竟怎么才能<b>弄成这样</b>？
