{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.21678} 我的脸放在你口袋里很舒服。可没有它，我很冷。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.59117} 人在你们身边会不舒服。可为什么有人要让自己这样，尤其还是走很长一段路？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.25998} 谢谢你，幻觉先生。我得说，你表达自己的本事其实比许多真人还强。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.20475} 我想，他们可能有某种仪式上的理由？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.35652} 所以你能指出只有你能看见或感知到的东西？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.44653} 我敢打赌，只是出于一时兴起。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.23136} 我希望那个人是西蒙。但也许是我想太多了。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.12520} 那个请求是什么？伊西多尔想从你们那里得到什么？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.47268} 烦请详述，我亲爱的幻觉先生。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.12993} 如果他的信里提过他这些瘦骨嶙峋的小朋友，我绝不会来这里。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.49254} 所以你认识伊西多尔？那所房子的主人？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.1067} 你为什么觉得有必要去看那所房子？还有，能不能请你用我听得懂的方式回答？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.28226} 那是懂得脉线之人的巢。我需要知道他怎么样了。现在我知道了：不好。死了。我很难过。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.65196} 也许我抓到点线索了。物证总是有价值的。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.63757} 我以为你们真的只是在说骨头。但不是……里面有东西。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.7332} 这真的有必要吗？你为什么不能直接给我答案？
