{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.32523} 镜子与棺材何其相似：只要一眼看得不是时候，它们就会把你困在里面。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.24122} 至少现在还不行。也许你终会找到打开它们的办法；但到那时，你就一点兴趣也不会有了。\n\n虽难以置信，你却仍得相信：我们镇上的时间流法，与你所知的全然不同。它是一种<i>流体。</i>它会渗，会漏，而你得在其中泅渡。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.2268} 不对。尸体很有意思。它们能说出许多关于生与死的事情。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.43348} 你错了。死者那冰冷而空洞的躯壳里，已不剩半点活的时间。\n\n虽难以置信，你却仍得相信：我们镇上的时间流法，与你所知的全然不同。它是一种<i>流体。</i>它会渗，会漏，而你得在其中泅渡。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.54293} 被自己的倒影困住？你是说自恋？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.47772} 平凡之物常会映出更有趣的东西。若你的面容处处都在反光里冒出来，也许意味着你身上还有更多值得看见的东西？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.38902} 谢拉菲玛总说：若你能在寻常之物中看见异常，你的人生才算有趣。若你在一切东西里只看见自己，那你就是对那真实视而不见。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.696} 虽难以置信，你却仍得相信：我们镇上的时间流法，与你所知的全然不同。它是一种<i>流体。</i>它会渗，会漏，而你得在其中泅渡。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.48419} 所以你们这里连物理学都是另一套！
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.35906} 既然时间会流，你便能把它装瓶。像血，像露，像眼泪。把它存到无雨之日，再在必要时花掉。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.2306} 听起来合乎逻辑，或者说，至少像个合乎逻辑的比喻。但我还是没听明白你的重点。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.54596} 若你攒下这样一笔液态时间的储备，你便能在日子间穿行——让自己出现在恰当的时候，恰当的地点。\n\n就像你方才做的那样，seigneur。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.11765} 啊，那我当然就能改正自己的错误了。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.34234} 正是如此，前提是你承受得住，seigneur。\n\n你何苦把自己的心智锁进枷锁里？你不是相信死者终有一日能够再度复生么……
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.44548} 我们不懂死亡如何运作，但我们懂时间如何运作。而它绝不是你说的那样。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.44443} 就把它当成西蒙留给你的临别礼物吧——就像尼卡送你的那块表。它的意义自会在时机成熟时显明。但在那之前，你得先学会如何使用它。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.37007} 你怎么会知道那块表的事？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.55479} 从读它壳上的铭文得知的！\n\n“Amalgam”是我们对液态时间的称呼。只要你手里还有它，你就不必按线性的方式看待万事。你可以把胶片倒回去，也可以把故事侧过来看。\n\n若你不幸遭逢一死：从你体内流出的就不再是生命，而是汞齐。于是你会再得一次重来的机会。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.5372} 如果这能帮我揭开西蒙之谜，我就在听。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.20628} “Amalgam”是我们对液态时间的称呼。只要你手里还有它，你就不必按线性的方式看待万事。你可以把胶片倒回去，也可以把故事侧过来看。\n\n若你不幸遭逢一死：从你体内流出的就不再是生命，而是汞齐。于是你会再得一次重来的机会。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.16988} 等等。等等等等。我不会死？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.34083} Seigneur，你这话可真像玩笑！你让我怎么回答呢？我们不是已经谈过棺材了吗……\n\n你务必记住：若死时身上一点汞齐也没有，那就是<i>最终</i>的、真正的死亡。也正是你竭力想要战胜的那种死亡。所以你必须时刻把汞齐带在身边——否则就会迎来那最黑暗的终局。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.40804} 年轻时候，我也曾幻想把自己的人生像活动影戏的胶卷一样倒放……
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.50754} 镜屋里你那个同伴——或者那也是你？——已经把这些都告诉我了。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.44032} 你务必记住：若死时身上一点汞齐也没有，那就是<i>最终</i>的、真正的死亡。也正是你竭力想要战胜的那种死亡。所以你必须时刻把汞齐带在身边——否则就会迎来那最黑暗的终局。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.44317} 我明白了。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.14249} 一旦汞齐用尽，你的表就只是一块表，不再是<i>改变</i>时间的工具。\n\n你务必记住：若死时身上一点汞齐也没有，那就是<i>最终</i>的、真正的死亡。也正是你竭力想要战胜的那种死亡。所以你必须时刻把汞齐带在身边——否则就会迎来那最黑暗的终局。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.27775} 所以汞齐对我至关重要，就像别人靠面包和肉活命一样。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.62010} 正是如此。你无须像别人那样为每日口粮四处搜罗；你该有的都会有。唯独<i>汞齐</i>，得你自己去找。\n\n镜子便是它的来源。镜子掠取人的倒影，把时间困在自己体内。若你把镜子打碎，便能把那被释放出来的时间收归己用。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.38836} 那我该到哪里去找这种“汞齐”？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.56546} 镜子便是它的来源。镜子采走人的倒影，把时间困在自己体内。若你把镜子打碎，便能把那被释放出来的时间收归己用。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.12365} 那镜中世界就会碎得满地都是，我明白了。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.44909} 汞齐也来自劳作的完成。每做成一件事，都会让人振奋，也就给你更多时间。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.30498} 这种感觉我知道；在首都时我也有过。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.33670} 今天我的任务，是把最要紧的东西解释给你听。其余一切，你会在时日中慢慢懂得。我只问你一句，seigneur：你相信我所说的话吗？\n\n你是否怀着敬意，听见我的话——西蒙的话？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.60714} 我在这座城里觉得很古怪。在此刻，在现在。这里头一定有什么现象可解释……
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.8829} 我相信你自己是信这些话的。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.50739} 西蒙在拿时间做实验。拿钟表做实验。这才是要紧之处，我懂了。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.19471} 按你们这些迷信看，你们镇上的玻璃匠该是最受尊敬的行当了。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.58760} 还有呢？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.44718} 嗯。我以前干过这事。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.42476} 有一次在中学，我因为镜子照出一副讨厌的模样，狠狠干碎过一面镜子。那时可没给我的寿命多添哪怕一秒……
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.65438} ……不，我觉得我还是没懂。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.12368} 听起来好得太不真实了。我闻到了圈套的味道。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.2837} 就算我信你。然后呢？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.26875} 以及去纠正……别人的错误，我想？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.64144} 挺有意思的幻想，但时间倒流是不可能的。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.54873} 你何苦把自己的心智锁进枷锁里？你不是相信死者终有一日能够再度复生么……
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.39497} 在清闲的晚上囤些时间，等报告一来、工作堆成山时再一口气花掉？这我可求之不得！前提是这事真的办得到。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.13120} 那我能把它花在什么地方？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.27043} 我有种怪异的感觉，仿佛我知道未来发生了什么。仿佛未来不是<i>将会</i>，而是<i>已经</i>发生过。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.13337} 小地方常这样。人的一生仿佛在流，却没人知道它会流向何处。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.435} 倒不如说，是碎了，又丢了。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.18213} 至少我不是吸血鬼。
