{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.46716} 丹科夫斯基医生？真是意外的来访。玛丽亚出去了——你是来找她的，对吗？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.50981} 我不知道女主人的命运也可以被牺牲。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.32867} 当你清醒地放弃某样东西时，那就是牺牲。从这个意义上说，任何东西都可以牺牲。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.47851} 也许吧。我只是看不出你把“世俗事务”的边界划在哪里。玛丽亚去见卡尔明斯基——那算世俗事务吗？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.24709} 是我弄错了吗，还是说你在嫉妒自己的妹妹？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.52218} 她实际上取代了你的位置，你一点都不遗憾吗？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.54523} 什么？不——当然不。现在我的位置在这里，在玛丽亚身边。我为卡佩拉高兴；她赢得了父亲的认可，也赢得了小镇的认可。也许我有一点遗憾，她不得不牺牲自己的另一种命运——成为女主人的命运。但——事情只能如此。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.13825} 几乎可以肯定。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.52906} 若这只是巧合，那也是该死地可疑。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.61645} 我看见玛丽亚和卡尔明斯基在一起。他们像亲密的朋友一样散步。这让我觉得古怪。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.37487} 我们也——该怎么说——对这消息相当不安。嗯。我和父亲的关系已经够复杂了，可若有人像对待维克托那样对待他，我会亲手掐死那个刽子手……用我自己的手！
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.9409} 有东西不见了吗？他会在玛丽亚的侧翼房里找什么？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.37848} 我们不知道——没人敢碰她的东西，没人知道她那些小柜子里装着什么。强盗可能是个仰慕者！也许只是想拿走一点小东西，好离她更近。我能理解——有时诱惑实在难以抵挡。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.18298} 而你——按本地标准也算开明的人——竟然相信咒祸？不过，小镇上至少一半人也信……看来那个强盗并不信。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_VladJr_Break-In.7578} 为她来的。我能和她谈谈吗？
