{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.13153} 学者。你知道，我明白你为什么来。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.25867} 她妨碍医院运作。她试图破坏我的工作，这不是第一次了。还不够吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.63} 所以，你是在要求我拘押一个人，只因为他——她——妨碍了你的工作？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.20813} 是的。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.19786} 我不是要你吊死她。只是隔离她。一段时间。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.2761} 这有问题吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.21812} 你藏了什么，我看得出来。这个方程里显然有些变量，你忘了提。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.7285} 我看见了未来。明天，换生灵会杀死拉拉·拉维尔。她会以按手之法杀死她，而我想阻止这件事。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.24450} ...
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.25011} 怎么了，尊敬的审判官？你好像说不出话了？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.3589} 你的话听起来像个玩笑。但你的眼睛告诉我，你的话没有撒谎。真不寻常。不过，我也不该惊讶。你我现在就在这座制造时间的教堂里。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.3575} 就按你的意思办吧，学者。我会下令把克拉拉关进牢房。但有个问题。市政厅的牢房现在都满了。必须腾出一间。既然这是你的请求，我建议由你来选择谁能获释。准备好了吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.6150} 第一间牢房里是阿贾伊·伊斯塔霍夫，杀人犯兼强奸犯。第二间是尼科·维迪奇，就是那个企图杀你的人，尊敬的学者。第三间是玛丽卡·塔特琳娜，她偷了邻居的一面镜子。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.5939} 放阿贾伊·伊斯塔霍夫出来。如果他真是杀人犯兼强奸犯，早就该被吊死了。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.28654} 你就这么厌恶看见克拉拉获释，甚至愿意为了这件事放出一个杀人犯兼强奸犯？如你所愿。我希望这个选择不会招致灾难性的后果。我会立刻下令。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.437} 我肯定会后悔这个选择，但无论如何，谢谢你。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.29070} 谢谢。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.4647} 祸不单行。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.21005} 我倒愿意自己进牢房，可他们总把我放出来，逼我去对付瘟疫。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.6475} 释放尼科·维迪奇吧。若我注定死在他手里，那也就这样。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.13693} 你就这么厌恶看见克拉拉获释，甚至愿意为此放出那个正在追杀你的人？如你所愿。我希望这个选择不会招致灾难性的后果。我会立刻下令。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.23817} 玛丽卡·塔特琳娜这事有什么蹊跷？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.20525} 没有蹊跷。盗窃就是犯罪。她昨天偷了一面镜子，谁知道明天会偷什么？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.25079} 那就放她出来。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.13911} 明智的选择，学者。我希望它不会招致灾难性的后果。我会立刻下令释放玛丽卡，把可怜的克拉拉关进她的牢房。你可以退下了。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.9632} 我不信。这里面总有蹊跷。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.2342} 那就选别人，玛丽卡会继续待在她的笼子里。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.13987} 我没有论据，只有直觉。我预感，如果我们不立刻采取措施，克拉拉会给这座镇子招来许多麻烦。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.12445} 我准许她进入医院，是因为我以为那样她造成的危害会小一些。我错了。她无法控制。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.11918} 她的按手之法很危险。她把手按在病人身上，然后又用同一双手，把沙疫从一个病人带到另一个病人身上。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.22388} 所以，你是在要求我把一个人收押，理由是他——她——不洗手？用这种方式教人注意卫生，未免太极端了。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.24410} 我试过同她谈。没用。所以我才来找你。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.22413} 告密者有什么特权？会给我发制服，还是特殊徽章？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.9642} 开玩笑。你不该在这种事上开玩笑。话说回来：我至少能听到一条论据吗？你为什么认为克拉拉必须隔离？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.23523} 我本是想来征求你的意见，尊敬的审判官。我认为克拉拉很危险。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.27988} 好吧，指控我听见了。现在能听听论据了吗？
