{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.17254} 午安，学者丹科夫斯基。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.27905} 他喜不喜欢是一回事。但每一位创造者都会不断和自己的创造物争辩。把那场争辩引到表面，并不那么困难。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.28085} 我向你脱帽致意。对我个人而言，想从彼得口中听到任何关于他的塔的连贯说法，都费了相当大的力气。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.44866} 我不能不试。无论从哪个意义上说，多面体都是这座小镇最值得注意的物体。它如此剧烈地刺穿地景，让人不可能不对它感兴趣。尤其是我当时已经知道“焦点”概念，也听过传闻，说多面体正是作为一个“焦点”建成的。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.50979} 那你连“焦点”也弄明白了？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.31895} 某种程度上吧。至少，同一天我造访了西蒙的书房——一个已确认的“焦点”。我想从感官层面理解这意味着什么。很有趣的发展，甚至称得上卓越，但仍然更合卡尔明斯基的胃口。不过也许我漏掉了什么——毕竟瘟疫到来之后，我不得不转向更实际的任务。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.27091} 那你又怎么知道镇下有感染血液的隧道？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.7881} 多亏了已故的阿尔乔姆·布拉赫。我们很早就见过——我对一个被指控谋杀本地最优秀医生的人感兴趣，而那位医生同时还是他的父亲。我们找到了共同语言。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.55273} 意想不到的同盟。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.14864} 他有罕见的智识，更重要的是，有罕见的原则。他的世界观由不同文化的碎片缝合而成，这让我印象深刻。阿尔乔姆告诉过我一些有关部族的习俗——他被处决之后，那些谈话让我想到，瘟疫的答案应该在屠宰场地下寻找。我设法找到了愿意下去的人，虽然我本来更希望那个人是阿尔乔姆本人。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.2904} 我很遗憾他被处决了。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.14132} 别谈这个，丹科夫斯基。我关于信息来源的说明，已经满足你的好奇心了吗？我们可以进入实质了吗？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.41370} 进入小镇的命运？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.9077} 我只是好奇，你会用什么词来为自己表述这个实质。现在我得到了答案。无论如何，所有命运都已经决定。布洛克将军坚持认为，今天必须了结这一切。他的炮兵已经准备就绪。半小时前，我已经把瞄准位置的命令送给他了。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.20504} 但你现在是非正式身份。小镇是卡尔明斯基的责任。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.33776} 从我目前的健康状况你也能看出来，卡尔明斯基对自己地位的稳固并没有多少信心。否则他不会派伪装过的强盗来对付我。至于布洛克，他不愿意，也没有权利独自作出如此重大的决定。他动摇的处境不允许他承担这样的责任。我的处境同样动摇——但我愿意冒这个险。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.37498} 我明白了。布洛克回复你了吗？他准备执行你的命令吗？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.45754} 今天在教堂会讨论最后的细节。这只是形式——但如果你愿意，也可以过来。如果我能找到一张柳里切娃不需要的纸片，我会给你写一张通行证。不过，你还没有问作出了什么决定。因为它显而易见吗？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.40517} 因为我害怕听见。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.40922} 布洛克将军的炮兵今天会摧毁多面体。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.53624} 不！
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.62725} 丹科夫斯基，决定已经作出。而且在三十……不，三十五分钟前送给了布洛克将军。一式三份，以防信使遇到麻烦。我收集到的证据足以支持拆除。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.30154} 恭喜你……获得胜利，莉莉奇审判官。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.24193} 你不为多面体感到惋惜吗？哪怕一点也没有？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.42302} 没有。我尊重它的构想，尊重它精巧入微的实现——但也仅此而已。别把这当成宗教表态，但用“伪神像”来描述多面体最合适。人们为了它杀人，也为它而死，失去理智，失去自身尊严——而它带给他们的只有致命疾病。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.56788} 不，这不是真的！
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.49504} 丹科夫斯基，你要去教堂的通行证吗？如果你愿意分享我的凯旋，我会很高兴。你给了这座小镇活到今天的机会——我站在你的肩上。而且……不是现在，但请你还是想想将来与审判庭合作的可能。审判庭需要你这样的人。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.65041} 我会去教堂，谢谢你。我现在还没准备好讨论未来。先让现在结束吧。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.2471} 很好。请允许我结束这场谈话——我需要稍微休息一下。你当然能在镇民中找到许多别的谈话对象——今天所有人都冻结在对结局的等待里。后会有期。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.64803} 教堂见。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.30504} 很难相信这一切就要结束了。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.8162} 我暂时还不能接受。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.46250} 不过，别太早庆祝你的胜利。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.42005} 是的，完全正确。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.1209} 可惜。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.45779} 建筑师法尔哈德编制的地图，也会成为你的证据之一？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.16580} 那是非常有说服力的佐证材料。多亏法尔哈德、尤利娅·柳里切娃，还有你——是你把它带来的，对吗？这张地图证明，这个野心勃勃的建筑—哲学项目从一开始就是错误。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.11294} 当然，前提是你没有说服尤利娅这么想……
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.40995} 是的，这是最合理的做法。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.23219} 很高兴你赞同我的意见。无论如何——决定已经作出。而且在三十……不，三十五分钟前送给了布洛克将军。一式三份，以防信使遇阻。我收集到的证据足以支持拆除。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.47725} 我深感遗憾，但是……这是唯一的出路。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.44740} 无论如何——决定已经作出。而且在三十……不，三十五分钟前送给了布洛克将军。一式三份，以防信使遇阻。我收集到的证据足以支持拆除。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.11270} 因为我惊讶于你竟会作出这个决定。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.20684} 因为我仍然不能完全相信……
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.45670} 是的，这很明显。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.27640} 那么现在呢？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.738} 但你现在是非正式身份。虽然卡尔明斯基死了——这大概意味着他的职责会转交给另一名审判官？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.6570} 正是如此。布洛克不愿意，也没有权利，独自作出这样重大的决定。卡尔明斯基的死几乎把布洛克逼进了死角——他动摇的处境不允许他承担这种责任。我的处境同样动摇——但我愿意冒这个险。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.13020} 拿多面体的命运去冒险？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.30825} 我想你本来有机会救他的。毕竟你是审判官。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.44477} 有。但当时我被别的事占住了。我错过了机会，而现在还没人发明回到一小时前的方法。别谈这个，丹科夫斯基。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.36441} 但你是怎么知道镇子地下那些流着感染之血的隧道的？也是从布拉赫那里？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.57265} 是的。阿尔乔姆·布拉赫和我很早就见过面——一个被指控谋杀本地最好的医生，而那医生又是他亲生父亲的人，我对他很感兴趣。我们找到了共同语言。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.14388} 意想不到的同盟。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.58064} 他有罕见的智识，更重要的是，有罕见的原则。他的世界观由不同文化的碎片缝合而成，这让我印象深刻。阿尔乔姆告诉过我一些有关部族的习俗——最终，那些谈话让我们两人都想到，瘟疫的答案应该在屠宰场地下某处寻找。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.48009} 惊人的直觉——他的，或者你的。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.3572} 我关于信息来源的说明，已经满足你的好奇心了吗？我们可以进入实质了吗？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.9356} 我还以为布拉赫会把他那些神圣的部族秘密同外人隔绝开来。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.4196} 他也只是在事后才告诉我。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.29062} 布拉赫倒真有时间结交新朋友。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.65075} 但你是怎么知道镇子地下那些流着感染之血的隧道的？也是从布拉赫那里？毕竟昨天傍晚，是你让我去避难所的……
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.32108} 是的。而你也看得出来，我本想与你分享这点。阿尔乔姆·布拉赫和我很早就见过面——一个被指控谋杀本地最好的医生，而那医生又是他亲生父亲的人，我对他很感兴趣。我们找到了共同语言。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.28673} 你去过西蒙的书房。也是在第二天。不死之人告诉我，他是怎么撞见你的。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.27086} 是的，我造访过一个已确认的“焦点”。我想从感官层面理解这意味着什么。很有趣的发展，甚至称得上卓越，但仍然更合卡尔明斯基的胃口。不过也许我漏掉了什么——毕竟瘟疫到来之后，我不得不转向更实际的任务。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.58492} 所以你盘问他，和瘟疫完全无关？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.2545} 你不会否认，多面体无论从哪个意义上说，都是这座小镇最值得注意的物体吧？它如此剧烈地刺穿地景，让人不可能不对它感兴趣。尤其是我当时已经知道“焦点”概念，也听过传闻，说多面体正是作为一个“焦点”建成的。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.62033} 彼得不喜欢谈这个。你强迫他了？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.59951} 彼得不喜欢谈这个。真的？在你们谈过之后？而且第三天，在你们谈完之后，他还想烧掉蓝图……
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.24309} 他喜不喜欢是一回事。但每个创造者都会不断和自己的造物争辩。帮这场争辩浮出水面并不难。至于蓝图之后的命运——我已经不太感兴趣了。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.10425} 这个谜题并不简单，但简单的谜题激不起兴味。最难的部分在多面体——彼得·斯塔马京本来愿意向我分享它的结构特征，但我……让那个时机溜走了。此后，他就远没有那么配合了。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.58124} 可你还是弄明白了。能否请教，是怎么做到的？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.32673} 用最平庸的方式：我目视勘察了多面体，找到了参与该结构安装辅助劳动的工人，计算了一些东西……一次普通的工程调查。彼得·斯塔马京的沉默只会继续刺激我。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.38927} 而关于镇子地下隧道的知识，来自你和布拉赫的相识。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.2943} 是的，正是如此。如你所知，这些证据足以为拆除多面体的决定提供依据。我在三十……不，三十五分钟前把它送给了布洛克将军。一式三份，以防信使遇阻。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.25315} ……而教堂里会讨论细节——纯粹是走形式，但仍然需要。你能给我写一张通行证吗？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.48560} 你对一切都真是消息灵通。可以，拿去吧。如果你愿意分享我的凯旋，我会很高兴。你给了这座小镇活到今天的机会——我站在你的肩上。而且……不是现在，但请你还是想想将来与审判庭合作的可能。审判庭需要你这样的人。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.42170} 凡事皆有可能。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.939} 谢谢你的通行证，我会去的。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.33462} 我想看看这一次，一切会如何收场。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.42478} 令人印象深刻。你隐姓埋名的停留已经取得成果。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.23407} 我自己也是昨天才彻底弄清楚。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.27551} 下午好。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.55} 我建议我们直入正题：我已经最终查明了沙疫暴发的原因。第一：小镇地下有公牛血的河流，是细菌的理想滋生地。第二：多面体的桩柱刺穿到了这样一条河，正在把血泵到地表。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.26481} 是的，我知道你也在进行自己的调查。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.1293} 请原谅，但是……你受伤了。需要医疗救助吗？
