{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.5131} 签这个。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.28960} 我一无所知。所以我指望您来启蒙我。我们还有很长一段谈话。先习惯这个事实吧：您今天回不了家。明天也回不了。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.4492} 家？我还以为这场谈话之后，我会被送进牢房。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.24154} 我还不至于失礼到把一个陌生人称作白痴。何况我尚未完全理解您的目的。但您当然明白，您刚才说的那番话，纯粹是彻头彻尾的胡说八道吧？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.7110} 您执意要把我看成敌人。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.27099} 我是科学家。我挑选敌人时，规格要远高于一个中年智人——肝脏不佳，患有胰腺炎；若我冒昧推测，还因严重疲劳和心功能不全而进一步恶化。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.1580} ……令人钦佩。您确实是行家里手。您甚至不是执业医生，对吗？一位科学调查者……可现在，对我来说，您是证人。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.10039} 过奖。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.11876} 您为什么什么都没做？以您的敏锐、远见、卓绝才智——倘若您的同僚们所言属实……您。什。么。都。没。做。尽管您承认自己已经意识到……
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.31887} 什么叫“什么都没做”？首先，我留在了那个该死的地方！我本不该留下。我有机会离开。现在我已经完全明白，我当时就该走。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.8445} 不。您有所怀疑，收到了材料——然后违抗直接命令，尽一切可能逃走。我有证据。信件，文件。就拿奥尔金斯基来说。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.16017} 拿去哪儿？他死在我手上。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.5248} 您知道自己现在在说什么吗？您还好吗？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.1560} 让我告诉您真相。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.23192} 我不知道您那文件夹里装了些什么。但那显然不是真的。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.12347} 这只是我一人之词对上他们的说法……
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.11050} 您在操纵我。这手段太卑劣了。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.12203} 现在您当然知道后来有多可怖。可那时我不知道。我不可能知道。用我的新朋友阿尔乔姆·布拉赫的话说：“事后看清一切，当然轻巧。”
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.9313} 我只是善于观察。活的有机体在眼尖的人面前藏不住秘密。我们全都相似得令人沮丧。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.12477} 不。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.14838} 我记下了：这个我第一次踏足的小镇，可能正在传播某种传染病。我把它纳入了考量。我原本打算第二天就走。这样够清楚了吗？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.25986} 他们称它为“沙疫”。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.9475} 怎么不说话了？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.9143} 星期四。我星期三到的。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.21367} 我签哪儿？这里？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.31224} 不如等我们这场迷人的会面结束时，我把所有东西一起签了？
