{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.40590} 你的脚步很沉。像带来灾祸的人。你带来了灾祸，是不是？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.7140} 谢谢你。你知道，年长者死去时，总会把遗产留给年幼者。我哥哥留下了他的希望——关于一种没有骨头作地基的希望。我需要想清楚，怎样对待这份遗产……今晚适合想这些事。最适合。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.60358} 真的不可能劝住他吗？你父亲在卡尔明斯基面前拼命想把所有罪责都揽到自己身上，而你也一天都没有离开过弗拉德……
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.5744} 父亲以为自己在保护他。他错了。我以为自己能救他。我也错了。他的痛苦和激情本该被引向别处。我明白得太晚了。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.40581} 你是什么意思？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.43421} 现在，这是我的轭，我的负担了。我感谢你。你没有害怕带来可怕的消息。你做得对。那是必须的。现在，还有另一件事是必须的。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.29147} 那我就让你独自面对悲伤。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.21700} 已经做过的事，就不要再做。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.7348} 别责怪自己。我也许说得太多了——金族人的庆典给我留下了太深的印象。如果我刚才太严厉，我很抱歉。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.1658} 这个夜晚有什么特别吗？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.65159} 你不必知道，你的心智抗拒这些事。但我会告诉你，只为让你有一天能够理解。今晚属于女主人们。每个夜晚都属于女主人们，但偶尔，女主人们也属于夜晚。那时，新的均衡便会诞生。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.8488} 你说得对，这些事对我很陌生。但如果这个夜晚能在悲痛中安慰你，我很高兴。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.2294} 巨大的丧失并不是一头扎进神秘主义的理由。请照顾好自己。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.48608} 你一点也不为他悲伤吗？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.23797} 我已经为他悲伤很久了。你知道，年长者死去时，总会把遗产留给年幼者。我哥哥留下了他的希望——关于一种没有骨头作地基的希望。我需要想清楚，怎样对待这份遗产……今晚适合想这些事。最适合。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.5080} 选择总是存在的。而自杀是软弱。眼下这种局面里，任何对镇子负有责任的人都负担不起这种软弱。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.21253} 这一点你说得对，但正是他的责任压垮了他。这些天，我哥哥几乎没有离开过破碎之心酒馆。什么事也做不进去。我每天都去看他。我们谈过。今天，我又去了，却没在那里找到他。我同他的罪疚搏斗。罪疚赢了。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.63527} 我为弗拉德难过。他不该这样死——既可怕，又毫无意义。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.24135} 他内里一直很脆弱。脆弱，又易碎。这些天，我哥哥几乎没有离开过破碎之心酒馆。什么事也做不进去。我每天都去看他。我们谈过。今天，我又去了，却没在那里找到他。我同他的罪疚搏斗，而他的罪疚赢了。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.9319} 如果你知道弗拉德会出事，为什么不试着阻止？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.21878} 我带来的是灾难的消息。那不一样。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.38809} 我整个早晨都在等消息。等有人说出这些话。把我的预感变成事实。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.46292} 你的哥哥死了。他把自己交给了金族人，他们杀了他，而现在他们正在……庆祝。
