{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.36047} 你。我记得你。那个脖子上扣着搭扣的人。你不该在这里。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.58432} 对……我应该在最初几天就颁布法令，征用食物。这样我本可以保下一部分储备——它们就不会腐烂。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.61273} 人不会交出食物。你若从人手里拿走食物，今天就不会站在这里同我说话——你会躺在土里。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.57492} 是，你又说对了。那就必须交换。用不会腐烂的东西去换。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.54667} 你还不是无药可救，浑。当你把手收紧在人们脖子上时——你必须知道什么时候松开。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.4661} 等我写回忆录《如何治理一座染疫小镇》时，我会引用你的话。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.21818} 你给了我一个有意思的想法。为此，我谢你。但我仍不明白，奥尔金斯基为什么把你藏在这里。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.65156} 很好。既然你拒绝谈伊西多的档案……告辞。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.51324} 仓库里闲置的东西，有什么是人们需要的？防护罩袍、工具、修理包……
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.49207} 我知道，很快就没有东西可以供养民众了。你的指责改变不了什么。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.10396} 这一点上，你说得对。食物短缺正在变成越来越严重的问题。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.62590} 该做什么，我自己会决定。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.65214} 你指的是某件具体的事？还是只是小镇的总体状况？
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.59647} 你可以再威胁要折断我的脖子，但我还是要说。据传，栓宅被盗了。而你看起来很像一个藏起来避风头的窃贼。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.4097} 有人告诉我，卡佩拉的房间里有样东西是我该看的。我猜他们指的是你。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.43545} 你在躲藏？躲谁？
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.23645} 我已经厌倦重复了：那不是搭扣，是胸针。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.9494} 你。你不该在这里。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.15923} 你看起来也不太像卡佩拉。而这里，如果我理解无误，是她的房间。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Oyun_Famine.63105} 你是谁？开口——否则我叫守卫。
