{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.194} 嘿，锯骨头的，是你吗？你就是那个大城市来的锯骨头？我是说，医生。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.55688} 别人是这么告诉我的。可惜没有准确地址。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.2130} 运气不好。我倒想报答你，可我没法。真不知道鲁宾去哪了。\n\n你知道吗，去问小的那些。孩子们，要是你碰见的话。他们把这地方每个角落都翻遍了，什么都逃不过他们的眼睛。如果鲁宾在这里，他们见过他。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.4286} 我一点也不想再和本地孩子打交道。但看来非去不可。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.29449} 谢谢。你也照顾好自己。你躲过了一次感染；下次也许就没这么走运了。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.58616} 我自己也不确定。但我得和他谈谈。至少做点有用的事。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.8866} 这场瘟疫是科学已知最凶险的疾病之一……如果我们能说它“已知”的话。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.46635} 裸露皮肤看起来正常，呼吸也正常……这足以排除旧感染。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.48131} 我不知道。那只是个假设。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.12386} 节哀。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.25956} 坦白换坦白：我也不知道年轻是否能保证安全。按理说应该如此，但这病似乎谁都不放过。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.43929} 我本希望她的草原血脉能保护她，她是族民。曾经是。她离开了自己的族人，却仍在小镇和草原之间撕扯。我想着，也许我故意跟她吵一架，她就会回到同族那里……不再遭这种命。现在太迟了。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.28934} 你看起来不像病了。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.19459} 不。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.57599} 请让我过去。我赶时间。
