{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.39940} 丹科夫斯基，我的朋友！我看你又被戏剧结构绊倒了？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.9660} 这座小镇能活到第十二天，全是因为我。这总该有点意义。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.61039} 我查明了瘟疫从何而来。如果这还不够，你的标准就比我父亲的期望还高。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.45535} 我查明了我需要的一切。我理解了我需要的一切。而现在我……
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.16540} 请原谅，亲爱的马克，但我现在完全没有时间理你。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.25904} 你在说什么？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.20318} 丹科夫斯基？哎呀，你可是我最没想到会来的人！你来这里做什么？人们有时说某人“跑在火车头前面”，但依我看，你是那种连自己的情节都甩开好几身位的人！跳过高潮，直接抵达了终场！
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.59435} 我该怎么理解这句话？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.63653} 你急着赶到第十二天，急得错过了几个关键转折。还毫无察觉！你连最要紧的事都没弄清，连瘟疫最可怕的秘密都没得知，打算怎么活过这一天？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.59871} 你的知情程度让我很不安，马克。你怎么知道这些？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.39185} 拜托，丹科夫斯基，我是导演，而导演总是预先知道剧本。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.39408} 那你也许可以告诉我，过去我错过了什么？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.65462} 然后毁掉你的整场冒险？哦不，那太残忍了。作为导演，我不能给英雄提示——只能引导，而眼下我正引导你走向过去。你还没准备好经历第十二天。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.58292} 医生，你错过了好几个关键情节点；没有它们，你的故事就不可能有终场。你在小镇待了这么久，却一直围着瘟疫打转——答案就在你脚下，去找吧！
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.11265} “你脚下”——这是某种微妙的提示吗？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.28210} 也许。也许只是个修辞？我同样可以说，答案像达摩克利斯之剑一样悬在你和小镇头顶。但我不会那么说，因为那就太像明示了。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.2895} 我已经完全听不懂你了。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.7324} 教人不逢时，反成害人事。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.34488} 你说达摩克利斯之剑，是指多面体？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.41669} 真是舌头害我！到此为止，再没有提示了！
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.4345} 你知道我花了多少力气才走到今天吗？你现在要我回头？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.45638} 当然，你可以就这样经历第十二天。没人会拦你。可一出没有鲜明终场的戏，算什么戏？终场是一切神秘剧的灵魂。而你的终场还没写出来——你还没找到它。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.39808} 那这个“可怕的秘密”是什么？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.53186} 你想让我告诉你，毁掉整场冒险？哦不，那太残忍了。作为导演，我不能给英雄提示——只能引导，而眼下我正引导你走向过去。你还没准备好经历第十二天。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.33044} 我倒愿意跑在火车头前面，可小镇已经封闭，火车也早就不开了。
