{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.28559} 那罗曼诺夫斯基和列维坦呢？他们在哪儿？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.16174} 哦，您还在？真是座怪镇。有剧院，却没有学校，也没有诊所。沙布林斯基，你到底在哪？他人呢？我叫你们把他喊来！
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.4711} 他刚进镇去了。在找驻军地点。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.30843} 一个人？他穿着制服，一个人进了镇？还不如直接在背上贴个靶子！
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.18667} 我看您很忙，我是否该晚些再来？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.12043} 恐怕“晚些”我也一样忙，所以既然您已经来了，就说您想说的事。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.9173} 有人正策划刺杀您，尊敬的将军，我是来警告您的。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.11067} 您倒很会吸引注意，这一点我承认。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.28030} 要我叫卫兵吗？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.20861} 叫卫兵有点太晚了，格里戈里。如果我们这位尊贵的客人真打算做什么恶事，他现在已经把自己的戏演完了。那么，您说您叫什么名字？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.17111} 明天早晨，拉维尔上尉的女儿拉拉·拉维尔，会用一把双发“初登场”手枪朝您胸口开枪。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.12047} 丹尼尔·丹科夫斯基。我强烈建议您，尊敬的将军，在入口设岗，并且谨慎些。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.11540} 杰尔扎文，请下令。继续，丹科夫斯基。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.23085} 告诉我，拉维尔这个名字您耳熟吗？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.2129} 我相信您知道答案。其一，拉维尔上尉曾是我的朋友。其二，他已经不在人世很久了。我实在看不出他能怎样从另一个世界威胁我。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.31755} 他的女儿，拉拉，现在就在镇上。而且她已经知道您到了。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.6790} 命运真会拧出怪异的转折。拉拉·拉维尔在这里。可她为什么会……是什么让您认为她正计划袭击？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.8301} 我偶然听见她同别人交谈。她已经买了手枪。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.2937} 所以您是来告发她的？为什么？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.18557} 她犯了一个错：她把一切都告诉了我。明天白天之内，她会试图杀您。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.15723} 她信任您，您却报告了她？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.6614} 这是为她好。我不想让她手上沾血。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.14515} 好吧，您建议怎么做？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.6853} 最简单的办法：隔离拉拉，至少暂时如此。这样她就无法伤害您。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.23553} 告诉我，丹科夫斯基，您知道我为什么会在这里吗？知道我为什么被流放到这个鬼地方吗？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.2749} 不知道。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.13182} 我曾试图阻止战争，结束战争。我们的政府多年来让鲜血不断流下，只有一个目的——延续自己的权力。这场战争没有任何其他合理目标。我试图阻止这一切，却遭到背叛和惩罚。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.4966} 我听说您试图发动政变。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.556} “政变。”我是在试图阻止战争，结束战争。我们的政府多年来让鲜血不断流下，只有一个目的——延续自己的权力。这场战争没有任何其他合理目标。我试图阻止这一切，却遭到背叛和惩罚。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.21531} 他们想绞死我，但又不敢。他们判定，公开处置一位受民众爱戴的将军会引发内乱。所以他们选择了折中办法。他们正在设法败坏我的名声，等我犯错。而您现在要我第一天就把拉维尔的女儿关起来。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.15679} 我只是告诉您我知道的事。尊敬的将军，您可以自己选择更看重什么：您的性命，还是您的名声。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.6703} 如果您不这样做，血还是会流。流的是您的血。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.14517} 我不是要您处决谁。只是把一个女人关进牢房几天而已。这很难引起多大的丑闻。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.18853} 也许吧，也许。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.9824} 我们可以设一名卫兵。如果拉维尔试图伤害您，那就足够成为把她关进牢房的理由。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.19737} 不行。首都那群人会立刻拿这条消息对付我。他们的宣传机器现在正全力运转。我已经能看见报纸标题了，他们会强调我是个被人民憎恨的弃民。“瞧，普通人都朝布洛克开枪。”
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.24847} 那就下令吧。您决定了什么？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.21512} 管它呢。杰尔扎文，派一个小队去拉拉·拉维尔家。把她关押起来。这是较小的恶。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.4080} 谢谢您，尊敬的将军。我已尽我所能；有能者，就让他们做得更好。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.4617} 这条死路没有体面的出口，但还有一条不流血、也安全的路。谢谢您选择它。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.21383} 这是个迫移局。我们没有好棋可走，只能在两步坏棋里选一个。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.24931} 您也可以什么都不做。您会像英雄一样死去。但这是您想要的吗？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.26112} 首都那边说过很多事。比如，说您试图以武力夺取议会。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.4081} 我是为了这座镇才这样做的。我们本就站在大规模动乱的边缘。再加上几百名没有将军的武装士兵。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.18625} 抱歉打断……
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.13674} 当然是空包弹。我不想第一天就爆发枪火。他们把我扔到这里，就是为了败坏我的名声。“军队来了，见谁就开枪。”不许开枪，听见了吗？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.11455} 那士兵要怎么维持秩序？要我说，为了稳妥，就该给他们发实弹。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.11947} 有意思。我还以为铁路已经封锁了，现在又有机车在跑？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.29245} 没有任何机车在跑。道路打开，只是为了让军队进来——仅此而已。等一下，你又是谁？谁放你进来的？
