{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.30691} 你看起来很慌，学者。发生什么事了？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.11763} 已经没有病人了。他们现在只是人。那不就是你想要的吗？让病人变成健康的人。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.30144} 你那些“只是人”正在街上散播瘟疫。今天，你把所有人赶出医院。明天，再多医院也装不下所有人。这就是你的最终目的吗？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.4243} 我替你做完了工作，医者，可你还是不满意。你想知道为什么吗？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.394} 我不想，但你反正会告诉我。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.24695} 因为你连医学的皮毛都不懂，还一直插手！
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.13627} 你可以试试。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.29928} 我不满意，是因为你对医学一无所知，却不停插手！
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.9127} 胡说。我生气是因为你在插手我的工作。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.6785} 我治好了所有人。这有什么错？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.24755} 光治好人还不够，小姑娘。我需要病人来研制疫苗。需要理解他们的病究竟是什么。如果你治好了他们，明天他们又病了、又回到病床上，那有什么意义？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.5462} 这就是你的问题，医者。你根本不在乎人。你感兴趣的只有诊断。也许这就是病人讨厌你的原因？你上一次表现出怜悯是什么时候，上一次安慰别人是什么时候？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.13780} 我做这行已经有些时候了，也观察到某种规律。如果你给病人信念，而不是诊断，他很可能会在痛苦中死去。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.2229} 我也有个问题。假设你治好了他们，明天他们又病了。你再治，他们又再病。这么多人，而你只有两只手。没有疫苗，治愈是没有用的。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.1552} 看看那些人。到广场上来，就看着他们。他们健康了。他们活着。这不才是重要的吗？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.429} 呃，该死。不管你说什么，她都只会继续说自己的那一套。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.20643} 你发火了，医者？我懂。你有过机会。两天前我就在这里。我想帮忙，而你从我身边走过去，就像我不存在。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.18531} 呃，该死。不管你说什么，她都只会继续说自己的那一套。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.11812} 你发火了，医者？我懂。你有过机会。两天前我就在这里。我恳求过，你拒绝了。现在，你就自食其果吧。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.19630} 不。这才是重点。这正是我一直想告诉你的。把病人带回医院。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.9160} 太晚了，医者。机会已经给过你了。我来了，我求过你，我想和你在一起。你说了什么？你拒绝了我。现在，你就收你自己种下的果子吧。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.18415} 当然。原来全是为了这个。就因为几天前我拒绝让你进来，你现在就来搅乱我的工作。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.28420} 那我们现在就去市政厅。告诉萨布罗夫和奥尔金斯基，现在一切都归你管了。等镇子覆灭，会有法庭审判，你可以告诉他们你是怎么治好所有人的。走吗？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.11482} 真可悲。也真像你。你在乎的只有自己的皮囊。我不怕什么审判。我知道我是对的。你也知道，所以你才这么生气。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.15792} 不。让我生气的只有人的愚蠢。就算你治好了他们，明天他们又会病倒。你再治好他们，他们又再病倒。这么多人，而你只有那两只手。你明白我的意思吗？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.11391} 说呀，说出来。你最喜欢布道了，一副高高在上的样子。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.16902} 没有疫苗，任何治疗都没用。没有长久的办法。现在，我们已经没有机会研制那种疫苗了。都拜你所赐。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.5800} 什么？你把一切都搞砸了，还拒绝承担责任？那我们两个到底谁是犬儒？谁是伪君子？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.25867} 病人来这里不只是为了接受治疗。我需要他们来制造疫苗。要是明天他们又会病倒，重新回到病床上，你治好他们又有什么意义？你没想到这一点，对吧？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.9940} 让我猜猜。你靠按手治好了所有人。你这双神奇的手到底是什么？里面装着显微镜，还是某种奇迹诊断仪？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.13333} 你到底想达到什么目的？我得承认，我低估你了。把我所有病人都带走，倒是个挺花哨的把戏。所以现在呢？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.22612} 这里没有把戏，医者。只有人。人们才是最要紧的，而他们现在健康了。这不正是你想要的吗？让病人变健康。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.5732} 你那些“只是人”的人，现在正在街上散播瘟疫。今天，你把所有人都赶出了医院。明天，再多的医院也装不下所有人。这就是你最终想要的吗？
