{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.14006} 我听不懂你。说我的语言。别装作你不知道。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.62020} 我当然不信这些神话！不过，也许这里确实生活着某些……长得差不多的动物？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.8922} 而她感兴趣的，偏偏就是这栋房子。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.10275} 哦？也许她想吞掉西蒙叔叔。或者吞掉他留在这里的残余。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.24661} 我觉得她想吞掉的是<i>我。</i> 她当时正准备……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.35311} 你会和泰尔曼很合得来。他也总在每个梦里看见象征。不过有时梦就只是梦。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.30106} 我们的梦不一样。我是女主人。我看得见真相。明天不会来。\n\n如果你当初做得不一样……如果你把医院开起来，如果你接管紧急指挥部，如果你去寻找答案……也许一切都会不同。可你错过了你所有的机会。我也一样。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.51213} 那我们现在该怎么办？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.58251} 去静水观星台吧。向伊娃告别。睡前抬头看看星空。写一封信。在终结来临之前，去碰一碰你珍视的东西。我原本还希望能和西蒙叔叔道别……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.32424} 这镇上没有任何我珍视的东西。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.27696} 不过你知道吗，恩-丹尼尔……这个场景也出现在我的梦里。我站在这栋房子里，就站在这里；西蒙叔叔在那扇紧闭的门后呼吸；而我告诉你，明天不会来。不知为何，把这件事告诉你很重要。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.16762} 你的潜意识，其实把希望押在了我身上。可惜……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.36075} 你梦见了什么并不要紧。你说对了最关键的一点：这座镇子注定要完。告辞吧，玛丽亚。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.14491} 我总甩不掉一种感觉：还剩下某种机会，某个被我忽略掉的可能……我必须把它找出来。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.37274} 不。我会战斗到最后。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.2111} 原谅我，玛丽亚……你说得对，我确实没有做到我本可以做到的一切。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.39993} 我的梦和你的不一样。我是女主人。我看得见真相。明天不会来。而你……你又一次没能帮它到来！尽管你手里明明握着所有牌。\n\n是的，是的，我看得见：今天一次又一次地返回，你已经学会如何让它归来……可你只是徒劳地把钟针拨回去，什么也没做成。可笑！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.48541} 这一次，至少我知道自己必须做什么：把权力抓到自己手里。前天，我在市政厅本来就有这个机会……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.62195} 眼下这场传染的局势确实危急……也许你是对的。用你自己的方式来说，算是。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.6185} 别再渲染末日了。镇子还有机会。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.6181} 我实在分不清，在你这里，比喻是从哪儿结束、思想又是从哪儿开始的。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.29979} 你是在用你自己的方式调查。这并不蠢。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.22524} 那股越来越重的倦怠感，也会把你压得喘不过气来吗？这是本地草药的影响，对吧？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.21175} 你的意思是，这地方也许藏着某条能照亮他命运的线索？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.19574} 再多告诉我一点。你知道什么都说出来。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.40339} 我原本是来找伊西多尔·布拉赫谈谈的。照我看，他不在家？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.30628} ……把手给我，恩-丹尼尔。照做。看着我的眼睛。\n\n不，你不是在挖苦我。你是真的不知道。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.27912} 我不知道什么？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.35430} 伊西多尔死了。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.51291} 这事是怎么发生的？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.52534} 这是个丑陋的故事。而我可不是什么平民小姑娘，会去嚼这种舌头。\n\n更重要的是，西蒙叔叔的手留下的痕迹还滞留在这栋房子里。就在这里，很近，还带着温度……我能感觉到……可门锁着，又坏了，这房子什么都不肯平白给我！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.19449} 我……不，都是我的错。我本该更主动些。我不该坐在静水观星台里筹划逃跑，我该从第一天起就去调查……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.45248} 是啊，这五天你几乎没怎么离开静水观星台。常会这样——来客会被迷住，要么被房子本身迷住，要么被伊娃……噗！\n\n不过你现在到这里来了。来到这栋我能感觉到西蒙叔叔的手所留痕迹的房子里。它就在很近的地方，还带着温度……我能感觉到……可门锁着，又坏了，这房子什么都不肯平白给我！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.56585} 那他的影子呢？它在哪里？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.51862} 也许就在那间上锁的房里？\n\n西蒙叔叔的手留下的痕迹还滞留在这栋房子里。就在这里，很近，还带着温度……我想，那痕迹也在那里，在那间锁着的房里。可我们到不了……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.34998} 让我猜猜：伊西多尔死了。就像这镇上我需要的其他所有人一样。对吗？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.49782} 我听说这座镇子的女主人是卡佩拉，奥尔金斯基的女儿。两个女主人并立，岂不是灾祸？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.56518} 卡佩拉？把小镇交给她，只会淹死在粘滞的惰性里！淹死在甜腻的快感缺失中，每个清晨都挂着笑脸醒来，可每张笑脸里都没有哪怕一丝火星！呃！我连<i>听</i>都不想听见她！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.50017} 反倒是你的火星，现在正闪得刺眼……真美。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.40413} 再多说一句，我就诅咒你。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.4463} 尽管来。从我的脖子开始；那里感觉最好。我喜欢它因为不肯低头而挨咒。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.27306} ……你可真放肆。人们都说，父亲初见母亲时也是这样。\n\n原谅我，恩-丹尼尔。我忘了，像你这样的人不该被我大声呵斥。我刚才太专注于那场对话。你突然出声，叫我一时失了防备。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.20553} 抱歉。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.46684} 你的道歉我接受了，恩-丹尼尔。\n\n无论如何，方才那样对你大喊，确实有失体统。我刚才太专注于那场对话。你突然出声，叫我一时失了防备。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.37151} 所以你们算是宿敌？职业上的竞争这个概念我倒熟。只是我完全不知道你们争的是什么。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.24276} 唯一值得争的东西。为了灵魂。为了精神。为了未来……\n\n原谅我，恩-丹尼尔。像你这样的人不该被我大声呵斥。我刚才太专注于那场对话。你突然出声，叫我一时失了防备。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.27968} 我几乎可以肯定，你不是这栋房子的女主人。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.35238} <i>Lingua mentem aperit.</i>（语言开启心灵。）
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.17719} ……你还好吗？要不要坐下？
