{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.13442} 恩-丹尼尔！我能帮你什么？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.30879} 他是个诚实的人。远胜于他的父亲。可封锁蚁巢的不是大弗拉德——是小弗拉德。就在第一天，那时甚至还没有半点瘟疫的风声。老布拉赫之死在里面激起骚动，金族人开始不安，局面眼看就要漫到街上……
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.55329} ……可里面的人全都死了。一场大献祭。封锁蚁巢的人，就是把几千人判了死刑！
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.28050} 你怎么知道这些？是在梦里看见的？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.24201} 并非所有知识都会在梦中降临到女主人身上，恩-丹尼尔。弗拉德亲口告诉了我。他想向我的叔父格奥尔基，那位法官，忏悔——好让公正的判决降临。但这样做会给我们家族太大的优势。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.46832} 他向你吐露了？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.14911} 没有人能对我撒谎。依照我自己的法则。而他……服从了。伟大的罪行常常像伟大的杰作——而多数时候，两者都会压碎自己的创造者。弗拉德试图阻止更大的恶……至少，他有做一件重大之事的决意。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.7050} 你说起这些时，平静得令人意外。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.51506} 伟大的罪行常常像伟大的杰作——而多数时候，两者都会压碎自己的创造者。弗拉德试图阻止更大的恶……至少，他有做一件重大之事的决意。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.14322} 你能帮他吗？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.42153} 怎么帮？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.5495} 去和他说话。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.21026} 我可以把他邀请进我们的圈子。让他加入征兆者的游戏。我本来就已经在考虑这件事。那你呢？到那时，你准备原谅他的罪吗？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.39283} 不。但罪必须赎清——死人可没有这样的机会。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.30575} 他有良知。仅这一点，就已胜过大多数人。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.51197} 不。我走来这里时，还不知道他背负着怎样的罪。他没有救赎可言。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.62701} 你知道吗？无论你愿不愿意，我都会邀请他。这样的决定由我来做，不由你来做。他会给征兆者的游戏添上一种可喜的滋味。谢谢你的启发，恩-丹尼尔！
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.40154} 什么？我说了：我反对！
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.42909} 而我也说了：这不是你能决定的事！我既不是你的玩偶，也不是你的女仆。弗拉德会被带得更靠近我的圈子——此事已定。别皱眉，丹尼尔。有一点违逆参与其中，事情总会更有趣，不是吗？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.40259} 你真让人无可奈何。可我似乎又没法一直生你的气。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.48792} 我根本就不该来这里。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.45075} 按你认为合适的做吧。你的叔父才是法官，不是我。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.59632} 他爱着你，你不知道吗？纵容他吧。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.54446} 我们两家的婚姻会由卡佩拉和可汗缔结——给弗拉德虚假的希望毫无意义。但我可以把他邀请进我们的圈子。让他加入征兆者的游戏。我本来就已经在考虑这件事。那你呢？到那时，你准备原谅他的罪吗？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.55142} 我不知道。毕竟我自己也没能做到。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.11241} 我来找你，本是想替弗拉德求情……可如果真是他判了蚁巢的死刑，那他就该受罚。告辞。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.19523} 你如此轻易地把这一切告诉了我……
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.52398} 我非常信任你，恩-丹尼尔。你不会利用这一点吧？伟大的罪行常常像伟大的杰作——而多数时候，两者都会压碎自己的创造者。弗拉德试图阻止更大的恶……至少，他有做一件重大之事的决意。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.15623} 他等待明天到来的审判官，仿佛希望自己被审判、被处决。不是恐惧——是希望。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.11446} 他从未明说，但我有这样的感觉。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.53220} 如果我告诉你，他们之中有一个人爱着你呢？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.35118} 大弗拉德，但愿是他？……哈哈哈，别那样看着我。他只爱从自己血肉里长出来的东西；就连维多利亚，我猜他也只是勉强容忍。我只是开个玩笑。是的，我当然知道。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.38452} 小弗拉德向你表白了？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.25877} 没有——正因为如此，我才知道。其他所有出挑的年轻男人，至少都半开玩笑地表白过，可他保持距离。任何女孩都会告诉你，这样的克制才是感情最真实的征兆。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.9888} 他有危险。
