{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.3670} 鲸有尾巴，书有叶子，屋有灌木，狗有……狗有……
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.8760} 两个大人吵到嘶哑，基拉甚至喊破了嗓子。看来发生了很严重的事。基拉的喉咙是因为激烈争吵受伤，不是因为疾病……
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.18441} 以医生的名义发誓。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.32042} 你们那个茶会到底是什么？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.19049} 就是我们聚在一起，把茶倒进小杯子里。我们有特别漂亮的小杯子！比大人的好多了。我们不许用大人的餐具喝……其实也不太想用。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.5522} 为什么有这种规矩？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.22190} 我不知道。我觉得连萨夫卡也不知道，虽然他装作知道。他总神神秘秘，说我还太小，不会懂。可我觉得——他这么说的时候，就是他自己也不知道。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.5945} 大人的餐具有什么问题？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.8264} 基拉把所有空闲时间都花在你们身上吗？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.5389} 是的！差不多一直如此。她教我们，后来又和我们一起玩。她……她，您知道，就好像也是个和我一样的女孩，只是非常聪明。也漂亮。她什么都懂，从来不丢下我们。后来她就累了。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.19856} 怎么个累法？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.28139} 她跟我们说，她很担心我们。而且一点也不睡。自从和萨夫卡的爸爸吵过以后，她就不睡了。她的眼睛都红得像吸血鬼。不过如果她是吸血鬼，她会告诉我们的，对吧？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.22279} 当然会。和这么一大群孩子待那么久。让我想起我的一个朋友。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.11189} 你们这里真是处处古怪。大人不在——这怎么可能？就这么把孩子丢下。你知道他们去哪儿了吗？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.16880} 我不知道，他们藏着秘密，不许跟着他们。萨夫卡更清楚。萨夫卡是真真正正的医生，他甚至有一本写疾病的书。只是别对他太严厉，他爸爸病得很重。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.13827} 我已经和所有人谈过了。现在我要在你们屋里看看。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.9475} 我去看看你们那位所谓的医生。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.28833} 已经和他谈过了。现在还得和其他人谈。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.2269} 下次把门锁好。劫掠者很危险，小姑娘。我是医生，你们的老师基拉说屋里可能有疾病源。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.19424} 要是他们只抢玩具就好了。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.17285} 家里一个大人都没有？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.21142} 蛔虫。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.28922} 呕——！那只有小针有过，他吃了没洗的苹果。狗更聪明，狗不会这样！
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.22620} 家里有大人在吗？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.18930} 这不押韵。
