{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.14871} 怎么，不打算说点什么？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.11832} 这里死的是谁？影子，你借的是谁的声音？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.27743} 总该有个理由，让我看见你，还能跟你说话吧？你为什么站在这儿？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.15338} 这我不知道。我只知道他知道的事。也知道他就在这地方死了。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.7412} 他是谁？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.10096} 格里夫。脑子灵得很，传奇人物。这一片的头儿，人人都敬他。希望他们给他在墓地挑个好位置，坟也修得不比法尔哈德差。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.17738} 那他知道什么？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.29485} 他知道不能收傻子的钱。可他还是收了。现在你自己琢磨吧。没了脑袋，才想起抓棍子。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.8702} 也许我能帮忙？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.28611} 这还能怎么帮。血河不会倒流。格里夫过的是危险日子，那两个人前不久就在仓库入口埋伏他。他连眼都没来得及眨，命就从身上流走了。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.14872} 前不久是多久？昨天？还是更早？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.5733} 也许就是昨天，我不记得。这里的时间走法全变了。这里所有事同时发生。你站在这儿，旁边格里夫在淌血，再旁边，那些前几天来求帮忙的人又在仓库入口捅他……
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.2545} 你一点用都没有。好歹说个日子；这样我只能瞎找。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.11513} 我有个猜想：他们捅你，不是平白无故，倒像真有来由。要不要去找找那些凶手，让他们自己说说你哪里惹到他们了。
