{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.25349} 现在是今天吗？我需要知道。如果还没有到今天，那么还有时间…
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.24662} 你为什么撒谎？我能看见你体内的时间流——你知道我在说什么，你一定知道！请帮我。帮我停下它们。我太累了，我做不下去了。玛丽亚说得对。我是一只锚，总是下沉。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.38765} 抱歉，你能看见什么？诊断你的人是我，不是反过来。请你终于告诉我哪里不舒服。可以的话，不要再说这些时间旅行的胡话。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.11350} 就算你说我说得对吧。可若我要帮你，仍需要知道更多。你哪里不对？疲惫吗？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.19657} 有意思。玛丽亚还对你说过哪些关于乌托邦的话？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.37445} 她说一切都会不同。我们将不再明白自己曾经为何如此盲聋，如此粗劣。生命会向我们展示尚未知晓的切面。恐惧会坠落，痛苦会坠落，怀疑会忏悔。所有碎片会合拢，形成一扇彩色玻璃窗。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.31488} 诗意。也没有意义。我还以为她知道西蒙计划的一些细节……
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.36902} 西蒙！他的死讯传到我这里时，我就知道：一切都要开始了。它已经开始了。我试着跳上那列火车的尾部平台！克服我整个迟钝的本性，把它翻过去，像扳动拉杆。为了不被抛下，不被留在过去。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.60445} 我还没看见恐惧和痛苦坠落。倒不如说，它们正在君临一切。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.14332} 那是幻象。转变的副作用。你的眼睛突然看见强光时会疼。就是这样。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.14452} 要是沙疫也能像眼睛遇强光的疼痛一样来去容易就好了。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.35232} 等一下……我们以前见过吗？你的脸有些熟。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.32175} 别开这种玩笑！我们可能以前见过，也可能以后见过——这正是我处境的恐怖。不过……是你，对吗？那次你在大教堂……你扳动了拉杆！还是没有？求你告诉我。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.45776} 是，我扳了。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.39653} 你能停下这一切吗？能不能只让我留在今天，不要让昨天替代明天？我太累了，再也受不了了。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.18562} 我能做的，是先从你的身体状况入手。那可能是你如此疲惫的原因。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.14240} 首先，请解释你身上发生了什么。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.57458} 在从前……真正的从前——时间还没有乱成一团的时候——玛丽亚常常嘲笑我，说我重得像锚，说我把自己拴在底部……而所有人很快都会起锚，离开地面，因为乌托邦随时会到来。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.42742} 不，我没有。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.49509} 真遗憾。刚才有那么一瞬，我还希望你知道怎样把我送回去，怎样把一切恢复原状……我太累了。我做不下去了。玛丽亚常常嘲笑我，说我重得像锚，说我把自己拴在底部……而所有人很快都会起锚，离开地面，因为乌托邦随时会到来。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.48619} 我们还是回到医学问题上。哪里不舒服？除了时间旅行以外。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.41056} 在大教堂？那确实是个特殊地方。不过你们这座城到处都是特殊地方，真的。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.17668} 你有记忆问题吗？难以记住最近几天发生的事？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.4220} 听起来熟悉。我自己也不太明白“今天”到底是什么了。
