{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.40949} 有烟吗？
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.41459} 对我来说，伊娃比静水观星台还要神秘、还要奇妙。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.45124} 造梦师里的每个人都爱她。对我们来说，她是……一支音叉。是最好的、最敏感的听众。是矿井里的金丝雀。大学教不会任何人她懂得的那些东西。\n\n哪怕镇子死了，连同我们所有的作品一起死掉……我也高兴伊娃曾见过它们。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.34921} 为了不让这座城死去，我得先告辞了。不过谢谢你陪我聊这一场。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.40130} 而我也会很高兴，伊娃最终看到的是我战胜瘟疫，而不是败给它。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.28706} 你是个很有意思的谈话者，尤利娅。现在我<i>当然</i>记起你关于凯恩家的请求了，而且我会竭尽所能帮你办成。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.53927} 你很了解她吗？
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.58265} 说实话吧：镇上的人不过是因为省城式的无聊，才给这一切裹上了神秘色彩。伊娃只是个普通女人，住在一栋普通的——<i>很大</i>——房子里。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.24788} 随你怎么想。你才是这屋子的客人，而这个女人——指的是你，不是我。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.45355} 而眼下，我也得去这些街道上当一阵子的客人了。原谅我，我还有事。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.30050} 好吧，我已经受够了周围所有人这副神神秘秘、唉声叹气的劲头。再见，尤利娅。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.63765} 我冒犯你了吗？看来伊娃对你很重要。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.20725} 是一栋漂亮的房子。不过，恕我直言，也就仅此而已。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.25603} 它还没向你显露真容吗？静水观星台之所以叫这个名字，是有原因的。它很安静。很细微。想想它到底有几间房。这个问题很有意思！答案要么是个玩笑……要么是建筑师送来的礼物。\n\n你知道吗，欣赏伊娃的理由有一千个，但最重要的一个是，她能住在这里。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.16852} 我是不是从你的语气里听出了一点苦涩？
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.21520} 更像是苦涩的讽刺。我们曾充满灵感，可岁月还是从我们身上碾过去了。有人逃离了这里……而另一些人永远也逃不了了，因为他们已经安葬在这片土地里。\n\n每当我来到静水观星台，我就觉得自己回到了我们还怀抱希望的年代。毕竟，这地方也是由我们中的一个人建起来的。是我们之中<i>最好</i>的那一个。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.15155} 造梦师？不就是那个镇上的建筑师和工程师协会吗？
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.65199} 抱歉。你说得对——事情堆得太多了，而且每个人都想从我这里得到点什么。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.53921} 每天都有成百上千的人在死，而你居然还在哀叹<i>香烟？</i>
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.64099} 是啊。你这是怎么了？上次见面的时候，你可没这么阴沉。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.9033} 抽烟对你不好。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.13952} 但有时候它是必要的。你这是怎么了？上次见面的时候，你可没这么阴沉。
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.54745} 什么上次见面？
{Dialogs2.Days.Day5.Day5_Q5_Stillwater.Day5_Q5_Yulia_Reminder.6044} 你可能不知道，但我是医生。医生在瘟疫当中可没工夫保持轻松愉快。
