{ArchiveDialogs.Day3.Q1_Petr.1} 陪我喝一杯吧，朋友。
{ArchiveDialogs.Day3.Q1_Petr.93} ——别嘲笑我。我喝酒，是为了聆听。
{ArchiveDialogs.Day3.Q1_Petr.94} ——听谁？
{ArchiveDialogs.Day3.Q1_Petr.96} ——用来替自己的软弱开脱，真够蠢的。
{ArchiveDialogs.Day3.Q1_Petr.46} ——那你‘曾经’创造过什么？
{ArchiveDialogs.Day3.Q1_Petr.12} 我只听见某种刺耳的杂音。
{ArchiveDialogs.Day3.Q1_Petr.75} ——没关系，喝得多了就会懂。喝过twyrine（特维酒）以后，干活也顺：脑袋像木头，没多余的念头……
{ArchiveDialogs.Day3.Q1_Petr.99} ——不，谢谢，酒瘾不在我的计划里。
{ArchiveDialogs.Day3.Q1_Petr.101} ——那就再来一杯。
{ArchiveDialogs.Day3.Q1_Petr.13} 整座城都在沙沙作响，开口说话……每一条小巷我都听得见。
{ArchiveDialogs.Day3.Q1_Petr.76} 声音最响的，是我的多面体……还是只有我这么觉得？亲生孩子的哭声，在什么噪音里都听得出来。
{ArchiveDialogs.Day3.Q1_Petr.78} 彼得露出一抹扭曲的笑。
{ArchiveDialogs.Day3.Q1_Petr.79} 所以你就是这个奇迹的建筑师？
{ArchiveDialogs.Day3.Q1_Petr.81} 曾经是建筑师，确切地说。现在我只是建筑师的影子。
{ArchiveDialogs.Day3.Q1_Petr.82} 我也一样，只不过我是医生的影子。
{ArchiveDialogs.Day3.Q1_Petr.80} 你的‘孩子’违背物理法则，马上就要塌了。你就是在这种状态下把它想出来的？
{ArchiveDialogs.Day3.Q1_Petr.84} 不。过去让我醉的是目标。现在我已经创造了最好的东西，耗尽了灵魂，只会聆听。奇怪的是：我现在创造的东西，不再歌唱。
{ArchiveDialogs.Day3.Q1_Petr.85} 我看你该戒掉twyrine（特维酒）了。它伤脑子。
{ArchiveDialogs.Day3.Q1_Petr.88} **他像准备恶作剧的孩子一样笑起来，眼里带着狡黠看着我。** 真没想到，你这么会照料人。你是医生？还是twyrine（特维酒）鉴赏家？那下一杯我就敬你。
{ArchiveDialogs.Day3.Q1_Petr.89} 是，医生。病理解剖师。死亡学家。医学学士。
{ArchiveDialogs.Day3.Q1_Petr.87} 可才华总不会被喝没吧。你还记得自己是怎么造出多面体的吗？它到底怎么可能存在？
{ArchiveDialogs.Day3.Q1_Petr.40} 这是错觉。酒精不会让听觉变敏锐，只会钝化其他感官。甲醇还能让人失明。
{ArchiveDialogs.Day3.Q1_Petr.41} 敏锐得很，敏锐到听觉幻觉。你最好小心点。
{ArchiveDialogs.Day3.Q1_Petr.69} ——喝几口总不会更坏吧？
{ArchiveDialogs.Day3.Q1_Petr.72} ——也许吧。
{ArchiveDialogs.Day3.Q1_Petr.3} 我其实赶时间。
{ArchiveDialogs.Day3.Q1_Petr.65} 赶时间的人可不会往酒馆里钻。来吧，我请。
{ArchiveDialogs.Day3.Q1_Petr.66} 既然你请……
{ArchiveDialogs.Day3.Q1_Petr.67} 我是来办事的，不是来喝酒。
{ArchiveDialogs.Day3.Q1_Petr.4} 让开，‘朋友’。
