{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.16392} 又是你？就不能放过这件事吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.26443} 可怜的小伙子。你知道吗，我们进城时，那座不可能的建筑出现在地平线上，让我打了个寒战。我可是参加过两场战役的老兵。这座城让我明白，有些东西比弹啸更可怕。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.6855} 我们应该开一份文件，免得流言四起。某种证明。“士兵坠落身亡，到此为止”。没有文件，路路受堵；有张纸，脚下好走。世道就是这样。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.19311} 作为医生，我可以给你们一份注明死因的证明。不过程序要求我检查尸体。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.64476} 检查尸体？为了什么？你刚才不是说死因很明显吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.18202} 我们尊敬的医生是对的。程序应当遵守。没有正式检查，如果调查人员追查此事，那份证明就会失效。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.5120} 我们不需要任何调查员。医生，我有个提议。你像秃鹫一样围着这具尸体打转，所以我们可以让你检查。作为交换，你要保证不把这事捅到我们的高级军官那里。没必要因为一场悲惨坠落去惊动布洛克将军。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.28203} 我理解为不然你们就不会让我看尸体？好吧，我保证。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.3361} 你以为这消息还没传到布洛克将军那里，这想法太天真了。已经传到了，我确定。让我过去——否则你们会后悔。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.11654} 你们想把这事扫到地毯下的努力有些过头，不过我接受你的提议。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.52421} 希望检查不会太久。在这里等着。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.2481} 他们告诉我，多面体……会排斥成年人。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.50987} 怎么突然结巴了？这也许正是最接近真相的说法。自从孩子们占据那座塔后，镇上没人再去那里。他们比任何人都更了解它的秘密。若它有杀人的能力呢？我不会意外。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.60143} 这是什么意思？终究不是误杀？谢天谢地……哦，抱歉，我知道这话听起来不好，但这真让我松了一大口气。如果这不是误杀，我们就不必担心骚乱。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.26924} 你打算在尸体旁站到什么时候，嗯？你有什么计划？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.14915} 我们的计划是揪住某些多管闲事的人。我们不是说过了吗？我们不需要有人到处说本地人在袭击士兵。如果话传出去，你也会后悔！
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.49266} 我和多面体里的孩子们谈过。他们坚持说他是摔下来的——事情就是发生了。一场悲惨事故。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.49585} 孩子们说，多面体……排斥了那个士兵。
