{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.10334} 啊！丹科夫斯基！你怎么溜过路障的？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.24443} 让他们来。这回我手边有刀——谁来我就割谁的喉咙。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.29905} 你想从审判官手里救下你和彼得的造物，结果全白费了。多面体的命运今天就要定下来。他们要拆掉它。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.43511} 什么？为什么？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.63187} 讽刺吧——你为了救多面体，杀了唯一能救它的人。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.26569} 因为你，他们今天就会拆掉多面体。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.48622} 哈哈哈！你全弄错了，丹科夫斯基。我杀的是那个用贪欲威胁玫瑰的审判官。现在一切都会好了！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.17937} 正相反。阿格拉娅接替卡尔明斯基坐上了谈判桌。她想毁掉多面体，而只有卡尔明斯基能阻止她的计划。可你杀了他。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.15069} 噢，你这是胡说，丹科夫斯基！第一，你怎么会知道？第二，我早告诉过你：卡尔明斯基想偷走多面体。想把它据为己有。那才真是比死亡更坏的命运。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.48761} 你真的就这么甘心牺牲自己最重要的造物？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.30755} 换你，你会把你的塔纳提卡交给审判团吗？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.4884} 塔纳提卡最重要的东西不是物质的。它们交不出去。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.26904} 审判官那群马屁精给你喂了一堆鬼话，你还吃了个饱。不，丹科夫斯基。卡尔明斯基是美的敌人。塔现在会好好的。没有命令，他们不敢开炮。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.32125} 这跟马屁精没关系。你不知道自己做了什么。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.43468} 我告诉你，莉莉奇审判官也在其中。是她下的命令。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.16030} ……我不信。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.1368} 是啊。因为你受不了自己亲手给自己的孩子判了死刑这个念头。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.60211} 好在我知道该怎么做。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.55656} 我希望不是“你死我活”。我希望……
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.44608} ……说得准。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.24434} 他们正在杀你的孩子，你这个顽固的蠢货！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.464} 没有什么命运比死亡更坏。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.42807} 那是番茄汁吗？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.61836} 也许吧。喝吧，喝吧。
