{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.18577} 丹科夫斯基。关于我的妻子，我只问你一个问题。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.12727} 我会召集镇议会。不再只是三个家族——或者说，在他们之外——我们将选出社群中最合适的代表。瘟疫已经证明，把责任明智地委派给身在现场的人，才能抵御最沉重的灾厄。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.14402} 小心，亚历山大。照这个势头，你最后会弄出个多党制！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.44133} 没错。伤损与疾病不是命运，也不是为任何事支付的公平代价。它们只是错误——可以纠正，也必须纠正的错误。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.40444} 对。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.1140} 我不知道。这些日子，我已经确信奇迹确实存在。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.59204} 幸好你来找了本镇首屈一指的神秘学专家。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.30163} 怀孕不可能这么早就确认——如果你指的是这个。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.6086} 谢谢你，丹科夫斯基。你用自己的例子让我看清了这座镇需要什么。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.14633} 教育？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.46908} 铁腕。也许你自己没有注意到——这座镇已经很久没人这样果断地夺取权力了。凯恩家太相信人民的敬意会像蒸汽一样从下方升起。奥尔金斯基家则相信自己的权威不可动摇、恒久不变，因此不必维系。至于我……哼。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.35055} 而你——松了手。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.17141} 我以为人民不爱我。或者更准确地说——不尊重我。当然，我是对的。可我没看见的是，这根本不该重要。你，丹科夫斯基，从不在意自己是被敬爱，还是被憎恨。你把这座镇当作泥土，捏成它该有的样子。谢谢你。你救我脱离死亡，也救我脱离疑惧。这里将开始另一种生活。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.14540} 另一种生活？怎样的生活？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.28429} 你的法令体系会延续下去。我会建立一套垂直结构，以严格规章把它束紧。我们不再从民众中征召巡逻员——是时候训练一支正规的民兵队，继而建立警察队伍了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.22418} 那另外两个家族呢？我怀疑他们不会欣赏你这番个人转变。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.21041} 这事复杂。别把它当作我渴望独揽大权——但奥尔金斯基家和凯恩家从来不懂遵守规章。他们所有事情都关起门来，凭个人权威强行决定。也许你已经教会他们别的办法了。我们拭目以待。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.45045} 那就祝你好运吧。只有坚定的手，才能把意志变成行动。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.23328} 我已经后悔教会你官僚那一套了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.735} 我完全不是想给你留下这种印象。更不是想教你这个。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.20371} 我从未想要这种权力！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.20159} 也许吧。我想你只是从未这样问过自己。你需要权力——所以你拿了。你把这座镇当作泥土，捏成它该有的样子。谢谢你。你救我脱离死亡，也救我脱离疑惧。这里将开始另一种生活。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.12980} 但愿有人能把我的铁腕作风告诉我的学生们。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.887} 对奇迹的兴趣？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Saburov_Final.28484} 肩膀上有颗脑袋？
