{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.35388} 我们还是小崽子的时候，总觉得只要沿着铁轨走得够久，就能一脚踏出世界边缘。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.64900} 我决定了。我留在小镇——取消火车。不是因为你羞辱我。恰恰是反着来。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.21786} 他决定了！我替你打点了一个又一个军官，结果他现在决定了！啊——迟到总比不到好。你对小镇到底还是有用的，我看得见，看得见。没准今天没有你，我们都醒不过来。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.15443} 你，肯定醒不过来。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.16995} 没想到你还有这种感伤。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.9733} 还剩两天。逃走没有意义。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.20184} 我重新考虑过了。我是来说逃亡取消。我会留在小镇，直到最后。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.33455} 我准备好了。我必须走。首都那边，我的实验室正在被毁，而我不在。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.1555} 我还没决定。这选择很难——也许是我一生中最难的一次。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.61346} 不。我是来说逃亡取消。我会留在小镇，直到最后。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.54361} 事情就成这样了。说真的，没想到你会这样。我还以为除了你的首都，你什么都不在乎。想清楚。我一句话——这事就全取消。但别来求我第二次。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.2647} 让别人坐那列火车吧。他们也许比我更需要。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.62159} 把火车头交给孩子们。他们会给它装上它需要的心脏。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.26917} 把车头拆成废铁。我们不能允许任何人离开，把瘟疫带到小镇之外。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.53682} 等等……我刚才是热血上头才那么答的。我还是得走。就算我又反悔——也别听。把我拖出去。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.5896} 你从一个极端晃到另一个极端，丹科夫斯基。行吧——不关我的事。现在出去——我的人会送你过去。礼数最周到，路最稳，一直送到车厢边。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.25913} 沿着铁轨走得够久，更可能被火车撞。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.39090} 那是因为你不是本地人。你见到世界边缘的机会，都比见到一列能开的火车大。说到火车——风声说铁轨已经清了，那只煤烟匣子也到了，呼哧呼哧，随时能窜出去。准备好了吗？
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.6714} 关于那些铁轨：我找到了工程师，也谈妥了必要的安排。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.19539} 煤烟匣子已经到了，呼哧呼哧，随时能窜出去。准备好了吗？
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.38903} 我也遇到过这种事。这就是世界的不完美。
{Dialogs2.Days.Day10.Day10_Q16_StationFarewell.Day10_Q16_Grif_Farewell.22917} 还在耍嘴皮。紧张了。好。风声说铁轨已经清了，那只煤烟匣子也到了，呼哧呼哧，随时能窜出去。准备好了吗？
