{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.44043} 恕我直言，阁下。历史不是戴着白手套写成的。这是您说过的话。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.50504} 决定已经作出。布洛克将军的命令不容讨论。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.43453} 我承认自己的责任。但我可以解释一切。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.60307} 不必。决定已经作出。布洛克将军的命令不容讨论。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.7607} 丹科夫斯基，如果我是你，根本不会在这里露面。你已经欠军队一笔账。昨天——你阻止士兵逮捕那些饮用戈尔洪河水、还把别人拖进危险迷信里的人。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.38158} 丹科夫斯基，如果我是你，根本不会在这里露面。前天——你给波申卡签了假文件。还记得他吗？一个带着两个孩子的鳏夫。他们全都患有传染病——不是瘟疫，但依然是传染病——而你写明他们可以撤离。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.48571} 够了，丹科夫斯基。决定已经作出。布洛克将军的命令不容讨论。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.61470} 住手！等一下……你们难道不明白，这座镇能撑到现在，靠的是我们的疫苗？它们不是通用疫苗，但至少能在一天内降低感染。没有疫苗，明天也许根本不会来。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.55933} 我们预计，清除医院这个感染源所产生的效果，足以抵得上您的疫苗——很可能还会超过它。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.659} 说够了。我们只是在互相踩脚，踩到见血。没有必要再开一轮争辩。我的决定是最终决定，丹科夫斯基。若您愿意——去向病人道别。但仅此而已。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.9248} 我在学院的一位同事喜欢说，权力是一种脑损伤。现在我明白他的意思了。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.39504} 我希望他们的尖叫缠住您的余生，将军。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.60643} 谢谢。我想去道别。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.62383} 我还是无法相信这真的在发生……
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.36426} 您什么也听不见……
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.48067} 请您，再想一想。若有必要，我会哀求您。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.20718} 听着，将军——我们可以谈出一个安排……
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.22480} 您真的会只因为他们生病，就下令杀人吗？您以前也下过这样的命令吗……
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.36126} 这么说，名声和荣誉的问题已经不再困扰您了？真可惜。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.33519} 我的病人是拯救这座镇的钥匙。而您就要亲手毁掉这把钥匙。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.11949} 将军，那些还是活生生的人——至少现在还是。我无法相信您会……
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.36044} 但您自己并不想这样！那为什么——为什么还要做？！
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Block_ClosingHospital.61631} 你好，丹科夫斯基。很抱歉，但我不能一边堵住常识的嘴，一边继续听从良知。从一开始，我就该承认瘟疫是战争的姐妹——因此也必须按战争的方式对付它。温和措施会把我们所有人埋葬。它们几乎已经做到这一点了。
