{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.12498} 完了……这下我们完了。全都要到长凳底下去。一起。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.10550} 然后头儿亲自命令给他松绑。说这样他更肯开口。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.45110} 而你，罗戈夫，接到命令看住斯塔马京！是你，不是我们。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.36803} 这就是我要说的，丹科夫斯基：头儿的命令。斯塔马京坐在那儿，像快从椅子上掉下去了，气都快喘不上来。我——我只是转身给他拿点水，免得他咽气！然后他就扑起来！直冲镜子。镜子碎了，他抓起一片——就冲向头儿。一眨眼。像老虎一样！
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.7302} 嗯哼。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.2096} 我们不否认责任。除了罗戈夫以外，人人都有。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.58982} 弟兄们……报告见鬼去吧？要不咱们跑去草原，嗯？总比为这事付账好……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.61683} 罗戈夫，你刚才还在劝大家你能脱身。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.37483} 我改主意了。说着说着才明白：我说不圆了。弟兄们，跑吧！斯塔马京和报告都见鬼去……现在要紧的是等人群散开广场，然后悄悄溜出去……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.60530} 你们敢。这里发生的事，你们必须负责。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.46794} 向你负责？想都别想。他们让你当了一小时审判官，除此之外你什么也不是。弟兄们，跑吧！斯塔马京和报告都见鬼去……现在要紧的是等人群散开广场，然后悄悄溜出去……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.64948} 跑吧。你们三个都跑。他们肯定会问我——我会说你们死于瘟疫，尸体烧掉了。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.24153} 真的吗？那可真救了我们。弟兄们，跑吧！斯塔马京和报告都见鬼去……现在要紧的是等人群散开广场，然后悄悄溜出去……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.43286} 罗戈夫，不。反正他们会找到我们。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.7915} 我有家人！我一消失，他们就会去找他们！不过……要是我能赶到电报机那里，警告他们离开……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.6565} 哦哦。真是一团乱。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.61238} 卡尔明斯基一走，你们所有的胆气也忽然没了。真有趣。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.4755} 我一直知道审判庭里都是些下贱胚子，但亲眼看见——还是别有一番滋味。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.44089} 诸位，做决定吧。很快还会有人进来。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.23070} 你们不打算束缚斯塔马京？他就那么站着，没人看守……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.37786} 他疯了——不值得！可就算这样，我们也该……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.53966} 弟兄们，跑吧！斯塔马京和报告都见鬼去……现在要紧的是等人群散开广场，然后悄悄溜出去……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.16310} 卡尔明斯基是当场死的吗？你们试过急救吗？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.21235} 当然试了！我们受过这种训练。可那伤口……像斯塔马京也受过训练，专门练过捅人。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.40929} 不会有什么“正确版本”。告诉我真相——反正我已经听见你们说话了。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.24528} 奇怪。你们本该是执法者，说话却像囚犯。
