{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.8033} 医生！这也许有些冒昧，但我觉得我现在全明白了。关于瘟疫。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.11471} 瘟疫之声是胡话。不过——如果胡话启发了你，那……我感谢它。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.23999} 我把能写的都写下来了。用我自己的话——我没法像学者那样写。但更重要的是不能丢掉记录、病历——没有它们，这一切都只是……话。等我做不了的时候，您会把我们的文书保管好，对吧？
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.12282} 雅科夫……你无法想象我有多遗憾。你活不到见证自己的胜利——见到你的肖像出现在教科书里……
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.13354} 哦，别这样，医生。什么肖像？重要的是这份知识能对人有用。让死的人少一些——如果不是在这里，至少在未来。我不需要别的。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.21196} 真正的科学家是你——不是我。不论学位如何。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.57487} 我向你保证，这项发现不会沉入遗忘。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.21585} 我会处理。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.8250} 也许你该离开？
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.4822} 什么？！
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.57117} 趁还不算太迟，把发现带回首都——在你自己也死在这里之前。我们都明白：小镇已经到了边缘；现在救不了它……个别人，也许。所有人，几乎不可能。但在首都……在那里，你能确保发生在我们身上的事不在别处重演。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.17948} 我不知道。你也许是对的。我必须仔细考虑。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.27770} 我不走。现在不走。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.11034} 无论发生什么……谢谢你，雅科夫。谢谢你为我做的一切。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.42776} 这话你以前说过。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.38197} 我再说一遍：趁还不算太迟，把发现带回首都——在你自己也死在这里之前。我们都明白：小镇已经到了边缘；现在救不了它……个别人，也许。所有人，几乎不可能。但在首都……在那里，你能确保发生在我们身上的事不在别处重演。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.16541} 这需要验证、试验……但你确实抓住了关键。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.8079} 所以。它会适应。会发展。会学习生存。它和我们赛跑——而且总是领先。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.54194} 如果……如果瘟疫真的能交换信息，能“学习”，那就解释了很多事。而这很可怕。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.25991} 这些是你的观察？来自医院的真实病人？
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.59792} 说重点。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.44500} 说吧。
