{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.26788} 我以为里面是病人鸿雁...你是谁？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.6259} 宣言？不，不过有人这样欣赏我们艺术家，真是令人高兴。你们错过了——我们可怜的木匠已经走了，其他人也和他一起。他们陪他去医院了。他切掉了自己的手指，你能想象吗？要知道，他可是个好手艺人！可再高明的手也会失手。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.21302} 可为什么手指会在阿里斯塔尔赫的房间里？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.21075} 可怜的木匠在屋里到处乱翻，找绷带。我常说，创作者都像孩子！没有我就什么都找不到。我尽力给他包扎好，把他们送去找医生。现在医生倒来找我们了。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.62524} 所以这副阴森场面和阿里斯塔尔赫没有直接关系……替我向那位木匠致意。我们能回到阿里斯塔尔赫的健康问题上了吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.48037} 当然，当然！而你真是位体贴又关心人的医生！你一路来到这里，想把事情弄明白，还在寻找伤口需要缝合的人。我相信阿里斯塔尔赫在你手里会安全的。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.2498} 我得承认，乍看之下，这像是犯罪现场。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.50166} 这里有人被流氓袭击了吗？就是那些在找阿里斯塔尔赫的人？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.16734} 流氓？这么说他们真的在追他？我就知道……至于血，我们可怜的木匠已经走了，其他人也和他一起——他们陪他去医院了。他切掉了自己的手指，你能想象吗？要知道，他可是个好手艺人！可再高明的手也会失手。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.17555} 等等……你预料到会有流氓来找阿里斯塔尔赫？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.50785} 是的……他和坏人搅在一起了。一切都从他和斯塔马京争吵开始。安德烈那个暴君不许阿里斯塔尔赫去破碎之心，他就转去最可疑的酒馆。我们所有麻烦的根源就在那儿！
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.30956} 小心些，瓦伦蒂娜。即使这血不是那些流氓洒的，他们显然也对阿里斯塔尔赫的熟人感兴趣。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.43173} 阿里斯塔尔赫满身瘀伤，却不肯承认是怎么来的。我想，这是他们干的？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.21877} 太可怕了！那下流的阴沟……可他还完整吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.4081} 他活着，但病了。流氓够不着医院里的他——病却够得着。你愿意帮我弄清他的症状吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.51066} 当然，当然！我怎么可能在阿里斯塔尔赫危难的时候抛下他？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.10488} 告诉我……阿里斯塔尔赫伤过什么人吗？那些血，还有那根倒霉的手指……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.20151} 什么？你怎么敢！阿里斯塔尔赫会残忍，会暴力？那根本不可想象。你那脑袋里到底在转些什么？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.60566} 抱歉……那到底发生了什么？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.12113} 我告诉你发生了什么！我们的木匠失了手。他是熟练的好手，可这种事谁都可能碰上。可怜的人在屋里到处乱翻，找绷带。我常说，创作者都像孩子！没有我就什么都找不到。其他人这会儿正带他去医院——你刚好错过了他们。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.45500} 我并不是有意用怀疑冒犯你。但请试着从我的角度看：我的病人闪烁其词，显然藏着什么，然后我又在他房间里看见这么血腥的场面。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.24130} 那又怎样？为什么你立刻就认定是阿里斯塔尔赫切掉了别人的手指？而不是有人切掉他的手指呢？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.18922} 因为他的手指一根不少。我是他的医生，数清他的手指还难不倒我。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.40674} 所以你就凭这么一点小事诽谤无辜的人？我都不知道该怎么和你这样的人好好谈下去。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.35935} 尽管责骂我吧，瓦伦蒂娜，但这改变不了阿里斯塔尔赫患病的事实。请你帮我弄明白他的症状。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.51545} 你先散布对阿里斯塔尔赫的污蔑，然后才想起自己要弄明白什么！我简直无话可说……但我必须帮忙。帮他，不是帮你。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.33634} 告诉我，他最近疲倦吗？我是说，比平常更疲倦。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.59738} 是的。他几乎下不了床。只有为了他的蓝图才起身。我把一切拿给他，还替他记下建筑计算。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.23947} 那么，木匠需要的绷带和药为什么会在阿里斯塔尔赫的房间？巧合，还是阿里斯塔尔赫在用？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.48759} 啊……他是在用，但不是给自己。我觉得这样说闲话太糟了，实在羞耻……可你是医生。阿里斯塔尔赫和一个不该往家里带的女人搅在了一起。她喝酒，做各种不能提的事，还常常挨打。所以才需要那些绷带。他是替那个赫拉姑娘备着的。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.15479} 你说赫拉常常挨打？现在看来，阿里斯塔尔赫也挨了打。还有流氓在找他。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.5697} 这就说得通了。她来往的都是那种人，我们害怕她那些“朋友”哪天会上门，把屋子砸成碎片。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.21222} 阿里斯塔尔赫床上的围巾是他爱人的？我还以为可能是你的。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.22461} “爱人”，呸！像赫拉那样的“爱人”，酒馆里一抓一把！抱歉，我一时失言。我无法想象阿里斯塔尔赫怎么能看上她。她瘦得皮包骨，脸黄得像赭石……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.46084} 爱情使人盲目。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.41622} 他觉得她完美。完美！尽管她——愿我的舌头因说闲话而枯萎——总在抓挠自己，还一身臭味。我真害怕我们都会从她身上染上什么……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.34367} 好，我看见一个假设成形了。但要证明它，我得检查赫拉……瓦伦蒂娜，你知道我能在哪里找到她吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.2448} 你现在找不到她了……你已经明白那个赫拉是什么人了吧？唉，何必兜圈子——她是个妓女！她失踪的时候，阿里斯塔尔赫失魂落魄，到处找她。后来街上的孩子告诉他，赫拉死了。说不准是死于瘟疫，还是死于她那放荡日子。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.37762} 也可能是她传给阿里斯塔尔赫的病……他也许还处在早期，大多数症状尚未显现。暂时如此。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.20483} 这样说不对，可我实在憋不住：那个赫拉只会招麻烦！她活着时把阿里斯塔尔赫带偏了，死了以后，他反而更痛苦。他原本是一盏明灯，甚至也许是天才，那么细腻的灵魂……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.40008} 也有一种可能，是赫拉救了他。她的病拖延了阿里斯塔尔赫死于瘟疫的时间。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.45001} 我只希望他能挺过去。熬过他的病，也熬过他的忧郁……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.55228} 你说得对，混迹阴沟确实危险。许多方面都危险。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.6398} 可惜。没有检查赫拉，我无法证实这个假设。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.53945} 你说她脸色像赭石？而且瘦得病态。真有意思。阿里斯塔尔赫可能是从赫拉那里染上了什么……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.10728} 抱歉问个蠢问题，但是……架子上有一张女人的照片，身子上贴着一个奥东的头。那是什么内部玩笑吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.29510} 只是我们同屋们孩子气的恶作剧。艺术家心里都是淘气的小坏蛋！阿里斯塔尔赫卧床以后，视力变差了。他开始认错人，想把勺子放下时却碰不到桌子——诸如此类。所以他们就编了个小玩笑。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.62289} 你在笑。你觉得好笑吗？我还以为你为阿里斯塔尔赫难过。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.41518} 我是难过。但那些恶作剧的人说对了。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.25979} 说对了什么？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.42524} 一颗奥东的头贴在写着“爱你的，H”的照片上——实在太贴切。仿佛阿里斯塔尔赫看不清自己献身的到底是谁。然后他真的开始失明了。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.10578} 那个恶作剧有什么意义？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.15471} 你帮我弄清了许多，瓦伦蒂娜。谢谢。我不能承诺什么，但我会尽我所能救阿里斯塔尔赫。至于木匠，希望已经有人帮过他了。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.31717} 请救救阿里斯塔尔赫吧，丹科夫斯基医生！这样有才华的人不能交给死亡。也许我该请求你让我去医院帮忙，好照看阿里斯塔尔赫……可我怎么能离开我们的屋子？这里谁来照料？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.43924} 没有人该被交给死亡。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.15001} 医院需要一切可用的帮助。想一想吧，瓦伦蒂娜。我会感谢你的。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.37090} 因为流氓告诉我，有个人失踪了，最后一次出现时和阿里斯塔尔赫在一起。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.19188} 所以你就凭几个不三不四的人说的话诽谤无辜？我都不知道该怎么和你这样的人好好谈下去。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.25378} 因为我的想象力常常脱缰。我总是受它的捉弄。请原谅我判断失当。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.39713} 所以你毫无理由地诽谤无辜？我都不知道该怎么和这样的人好好谈下去。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.43651} 那么，他房间里为什么会有一根断指？那是什么阴森场面？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.48622} 瓦伦蒂娜，请饶了我吧。我们专心谈眼前的事。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.8339} 如果你非要写诗，请好心把它都写下来，寄到静水观星台给我。我现在关心的是更落地的事情。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.46865} 我想多了解这所屋子和里面的住户。你介意说说吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.42041} 完全不介意。我们是一个公社，一片创作的绿洲。这里住着有才华、懂得美的人，可惜他们没得到应有的承认。我希望有一天，整个世界都会知道他们的名字。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.11711} 创作的混乱，我确实注意到了。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.58827} 他们需要一个母亲，至少也需要一个姐姐。有人照顾他们，看着他们才行。他们就像孩子——离了别人就会迷路。就像那一次……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.48526} 其实我只关心阿里斯塔尔赫。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.54333} 你吓着我了，医生！阿里斯塔尔赫一定出事了，而且很糟——否则你不会来的。我就知道……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.28063} 看来你正是我需要找的人。真走运！你一定比那些艺术家注意到更多；他们全都忙着飘在九天之上。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.56096} 那你呢，瓦伦蒂娜？你的才华是什么？雕塑，还是音乐？也许你是诗人？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.48181} 我？哦，不不不，我哪里能。我只是瓦伦蒂娜。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.12361} 可你毕竟住在艺术公社里。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.35097} 请别这样担心，对身体不好。我已经检查过他，也作出了诊断，等医院的消息吧。案已了结，告辞。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.57625} 这个问题我想了一辈子。我叫丹尼尔·丹科夫斯基，而你的阿里斯塔尔赫有麻烦了。
