{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.32327} 这种情况还要持续多久？看来你和你想要拯救的人一样平庸。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.56703} 并不比你的回答差。你在隐瞒什么？那些瘀伤怎么来的？这很重要。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.64159} 该庆幸我至少让你看到了那些瘀伤。提醒一下：我才不在乎你的疫苗，也不在乎那些有着同样沉闷面孔的病人。一切都是尘土，那就让它归于尘土。我说清楚了吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.43915} 阿里斯塔尔赫，你打架了吗？请直接回答，否则我可能误诊。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.52604} 抱歉，但我在你的病历上写得太多了。症状太多——得划掉一些。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.22028} 遗憾的是，我们的谈话没有帮助澄清诊断。你迫使我更详细地调查你的病例。你住在哪里？你是和尸体一起匿名送进医院的。我们记录了你的姓名，但没有地址。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.52310} 这已经越过所有界限。你想闯进我家？去见鬼吧！我不记得地址，我忘了——这个症状要不要也写进你的清单？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.6610} 我想我会把“社会危险性愚蠢”也加进去。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.62241} 我就知道你在隐瞒什么，阿里斯塔尔赫。你的回答太含糊了。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.32780} 所以，你不肯给我地址？没关系，我会查出来。你赞美过斯塔马京酒馆，不是吗……？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.10514} 我终究还是找到了你的家，阿里斯塔尔赫。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.16657} 恭喜。现在你见过艺术的样子了。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.58295} 你的同屋，那个木匠，赶到医院了吗？流了那么多血，希望他路上没有昏过去。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.49455} 赶到了。护工给他缝好，发了些药片，就把他送回家了。谢天谢地，还带着那些滥好人一起。今天我实在受不了和同屋们待在一起——我本来就是头也不回地逃出来的。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.51242} 你这么急着进停尸房，跑到感染区的长椅上喝醉昏睡——全是为了一个叫赫拉的女人？为什么不一开始就告诉我？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.3562} 为什么？好让你这个从首都来的花花公子也来侮辱我的爱人？那些所谓朋友的高见，我听够了！他们自称创作者——却瞎得厉害。她是这座可怜小镇里的生命火花。如今那火花灭了。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.36822} 信不信由你，我同情你的遭遇。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.47184} 是吗？像你这样的人，倒不像是灵魂里还会有什么波动。你像一台器械——计算着，精确得过分。你全是理性，没有半点即兴。而她——她是纯粹的冲动。一次爆炸。一片飞散的玻璃碎片……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.55388} 有几个流氓在找你。是因为赫拉吗？你身上的瘀伤是他们打的？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.33383} 当然是他们。我都不知道自己怎么逃出来的——他们有两个人，而且更强壮。更要命的是，我根本不想逃。说实话，他们本该杀了我。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.11862} 瓦伦蒂娜很担心你。她只因为你在这里，就想来医院帮忙。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.15102} 好让她一边用关心把我闷死，一边又来折磨我？谢谢，免了。她从来不喜欢赫拉，还尽可能让所有人都反对她。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.38861} 我怀疑是赫拉感染了你。我想弄清楚她的症状。瘙痒、蜡黄的皮肤……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.22359} 还有别的……算了，我不该再折磨你了。我让你清静一会儿，阿里斯塔尔赫。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.13213} 我对病人的私生活没有意见。我关心的是感染途径。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.40200} 什么感染？她死了。她死了——你明白吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.61311} 哦，别演了。你只是喜欢那个画面：高洁艺术家和堕落女人。依我看，俗套得很。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.41998} 果然是侮辱。滚下地狱吧，医生。你怎么能这样说话，尤其是谈论死者？我不会再对你说一个字。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.20694} 那倒不必。我已有足够的数据。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.50626} 爱在何处，痛亦在何处。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.10616} 来看看所谓“特殊人”长什么样，好吗？请到屏风后面脱衣，准备检查。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.40892} 我就不拿谈话来折磨你——也折磨我自己了。让我取些样本。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_NewQuestions.62452} 我暂且让你免受我的平庸。先等在这里，阿里斯塔尔赫。
