{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.40304} 瞧瞧这位伟大的可汗。可别看漏了他有多<i>了不起</i>！
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.12924} 要说“朋友”，那就太抬举了。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.27659} 他有用，但也没用。他就是个不会说“不”的蠢货。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.8300} 你们打过他吗？博博克。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.50015} 像那种人，<i>怎么可能不打</i>？他挨了还会谢谢你。还是<i>谢两遍。</i>
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.36845} 他那些新伤是你们打出来的？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.35280} 哎，你知道这种问题的标准回答吧。他是从楼梯上摔下去的！
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.2574} 别急，我不是来指控你们，也不是要给你们定罪。我只是得知道博博克那些淤伤是怎么来的。这和我的工作有关。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.12152} 说得好像你懂我们过的是什么日子似的！你连<i>自己的</i>日子都没搞明白，还成天摆出一副大人物样。睁大眼睛看着点，也许你就能看见些什么！
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.22195} 别再满嘴跑火车了，聒噪鬼……你也是，医生，听好了，记住。博博克我们确实收拾过一两回。可<i>现在</i>我们才不会去碰他。\n\n他都长癞了。我们自己也不是什么体面人，可脏和长癞还是分得清的。去揍一个长癞的家伙，最后倒霉的多半不是他，而是你自己！
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.36856} 你说的“长癞”是什么意思？某种皮肤病？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.14977} “某种”？你看过他那张丑脸没有？他现在连<i>嘴里</i>都起疮了！要是他先咬上一口，连从他手里抢吃的都难。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.34564} 我们也不是一点不懂。没上过大学又怎样？街头就是我们的大学！是“什么症”还是“什么炎”我们也许说不上来，可该怎么躲我们还是知道的。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.41276} 那好吧。那你们能不能——
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.47250} 不能！
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.10465} 哎呀行行好吧，放我一马。我知道你还想没完没了地<i>叨叨叨</i>。你们没事干，当然就只会这个！可我们还得想法子填饱肚子呢。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.47527} 好吧。你们已经帮我够多了。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.55323} <i>Nunc est bibendum?</i> 好吧，那我不打扰你们了。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.49658} 你们简直都快以自己是恶棍为荣了。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.10658} 我们自豪的不是这个。这里头压根没什么“自豪”。你看，既然是<i>不揍人就挨揍，</i>那最好出手的是你自己！
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.59886} 胡说八道！谁会费事来打你们？博博克吗？他连只苍蝇都不会伤。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.50551} 告诉我，博博克喝酒吗？你会说他是个酒鬼吗？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.15915} 哦，得了吧！你给我找个街上<i>不喝酒</i>的人看看！你怕是从来没把脑袋伸出你那间整洁的小办公室吧？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.63992} 博博克哪轮得到往嘴里灌多少酒啊，旁边那么多张嘴呢！你叫他分，他就分。他那股臭毯子、那瓶酒……什么都分。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.33409} 就跟他那蠢样一个德性。连做个正经酒鬼的胆子都没有。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.23411} 我大致感觉到你们这里<i>没一个</i>人状态像是好的，不过我还是得问：博博克最近生过病吗？你们注意到他有什么异常没有？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.9285} 他其实还是老样子。跑腿办事，不管自己舒服不舒服。就算两条腿都快站不住了，他也还是想帮人……
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.42348} 我在这儿发现了药品——药。那是谁的？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.23656} 哈哈！<i>“谁的”！</i>我不行了……太好笑了。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.10482} 这里可是<i>垃圾场。</i>你再往下翻翻，能找出来的东西可多着呢。
