{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.22705} 你尽管治吧，不管是为了你自己还是为了我，我都无所谓。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.21117} 人在街上，不靠酒精还<i>怎么</i>取暖？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.42049} 酒精实际上并不能帮你保暖。这是常见误解。你会觉得暖和，是因为血管扩张了，可事实上，你喝醉的身体散热反而更快。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.23497} 幻觉也好啊！跟残酷的现实比起来，我宁可要个温暖的幻觉。\n\n你把我带到这儿来，这么吵，这么急，又叫我“翻个身，吐这边，卷袖子，回答问题！”要我说，这套折腾可比一大口烈酒更容易把我的脑子搅乱。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.6069} 差点忘了……把你带来的护工告诉我，他们是在一栋感染屋旁边发现你的。你在那儿干什么？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.7822} 我什么坏事都没干！什么都没干。我本来要把那只小公牛从那屋里领出来……可我没做到。哦，这可不好……我没守住诺言。我的记性跟筛子似的……
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.36558} 什么公牛？谁会把牛养在屋里？我真是<i>不敢相信</i>本地风俗。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.37415} 是给那个女孩的公牛。我答应过要把它领出来，可我没有……
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.24994} 好吧。要是有必要，我们以后再来搞清你答应了什么。现在，准备接受检查。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.21530} 这样吧——我先取点样本。我们拿到显微镜下看看，究竟是什么毛病。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.10895} 我之后再来处理你。先暖和一下，再跟护工要点吃的。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.2617} 你到底进没进过鼠疫屋？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.19044} 我想，如果我真的进去了……我总该把那只小公牛带出来吧？是为了那个女孩！我一定会尽力的，因为我答应过她……
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.29485} 你到底喝没喝醉？上次喝酒是什么时候？这<i>不是</i>闲问——我不想把无关症状记进去。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.40488} 我怎么知道，医生？他们把我带到这儿来，到处都这么吵、这么急。\n\n你又叫我“翻这边，吐那边，卷袖子，回答问题！”要我说，一大口烈酒都比这套医疗折腾更不至于把我的脑子搅乱。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.11212} 你秋天也睡在外面……这么睡，你不会着凉吗？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.43181} 哦，习惯了。习惯不了的人，头一个冬天都熬不过去。\n\n天一冷，我就发抖，发烧……不过我想，这很快就会像往常一样过去。只是这次……我的头一直一直地疼，停不下来。
