{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.10619} “根据……今日之法令，丹尼尔·丹科夫斯基的实验室……”
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.15582} 错的是我。抱歉，谢拉菲玛。我用自己的恐惧毁掉了塔纳提卡实验室。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.47858} 该死！他们警告过我——可我还是走进了那条受诅咒的街！
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.44158} 所以尤利娅的街终究压倒了一切常识和逻辑。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.47908} 不可能这么写。让我看看！
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.36995} 这正是我害怕的……
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.24702} 你敢。要走的是你，不是我的助手。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.27745} 我都做了什么……
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.14445} 你是她们的上级，我理解得对吧？别想闹事。我这里有文件，看见了吗？上面写着：“根据今日……之法令，丹尼尔·丹科夫斯基的实验室……”
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.16434} 可笑的错误。你没听说丹尼尔如何在那座偏远小镇击败瘟疫吗？整个研究所都在谈这件事！你们该奖励他，不是关闭实验室！他们是在犯蠢，主任。等错误纠正，一切都会恢复正常。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.16617} 不会。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.4878} 可为什么？！怎么会这样？
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.41395} 不可能。可它就是这样。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.56481} 那是我的错。抱歉，谢拉菲玛。毁掉塔纳提卡实验室的，是我的恐惧。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.16030} 结束了。那条受诅咒的街抹去了我可能拥有的一切成功。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.63305} 他们什么也没听说。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.24057} 所以尤利娅的街终究压倒了一切常识和逻辑。我必须亲眼看看。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.4531} 一场醒着的噩梦。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.37565} 醒着的噩梦是你们不服从命令！我最后告诉你一次：收拾东西，滚出去。你们完全疯了！以为你是女人，我就不会动用武力？
