{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.8653} 审判官的到来似乎搅动了整座小镇。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.5065} 维克多·凯恩已被处决。卡尔明斯基毁掉了他的心智。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.2469} 你说处决是什么意思？你在说什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.22928} 意思是审判官卡尔明斯基碰了他的额头，现在维克多只会说一句话：‘我什么也不会告诉你。’
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.9002} ‘他被处决了’这几个字，除了本义之外还有别的意思吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.7419} 我明白你的意思，而我不喜欢这样，丹科夫斯基。卡尔明斯基的确来见过我，他问我为凯恩家做过的工作。我把一切都告诉了他。我说的任何一个字，都不可能成为处决的理由。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.8871} 看来他的到来尤其搅动了你，尤利娅。你决定借审判官同凯恩家清算旧账，是吗？没想到你会这样。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.6396} 我听不明白，丹科夫斯基。你说的旧账到底是什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.4430} 看来他的到来尤其搅动了你，尤利娅。你决定借审判官同凯恩家清算旧账，是吗？没想到你会这样。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.11913} 我不太明白你的意思，丹科夫斯基。你说的旧账到底是什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.25213} 我最鄙视两种人：瘾君子和告密者。我甚至说不准我更鄙视哪一种。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.32730} 我也鄙视不会直说话的人。你想说什么就说。别拿暗示和谜语来烦我。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.26720} 我和玛丽亚·凯纳谈过。她告诉我，卡尔明斯基和你谈完之后去了炉宅，并且‘执行了判决’——不管那是什么意思。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.21989} 此后，故因此。究竟发生了什么，我知道的不比你多。我从未告诉卡尔明斯基任何可定罪的东西。我只说维克多是我的雇主。还有，他是凯恩家里最讲理、最脚踏实地的一个。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.23632} 你到底向卡尔明斯基说了维克多·凯恩什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.14061} 什么也没有，除了说他是我的雇主。还有，他是凯恩家里最讲理、最脚踏实地的一个。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.1667} 这不像是足以定罪的理由。你在隐瞒什么。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.22027} 既然你反正不信我，何必发问。你为什么不去问卡尔明斯基？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.15889} 你想在我面前扮演蒙冤受刑的人？没用。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.18147} 每个人我都会去谈。我只是决定从你开始。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.19550} 万物皆有其时。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.11547} 看来他就是因此才被剥夺心智。因为他是凯恩家里最讲理的人。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.14156} 给你一个谜语，尤利娅：会尖叫，却不是猪。是谁？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.16753} 我不太明白你的意思，丹科夫斯基。这是什么意思？
