{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.16365} 他什么都不会告诉你。你该跟我谈。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.8288} 维克托曾希望这条不可能的街会成为认识世界和现实内部机制的绝妙新知识来源。可一切都毁了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.23396} 他们都是挨家挨户走的？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.36444} 他们各自在精确预定的时间抵达。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.12925} 维克托意识到，那条街只会向以特定方式行走的人显现，也就是从一个门廊走向下一个门廊。他通过实验发现，必须从大教堂广场开始，站到你左手边第一个门廊上，再从那里循着声音走。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.18090} 我知道你在说什么。我自己走过那条街。我看见了我的未来，而它很可怕。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.54183} 很遗憾。我想你现在已经自己明白，你犯了一个巨大的错误。那条街向你展示了一个无法避开的未来。它使你的未来坍缩，选定了你命运中绝对的噩梦情形。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.49707} 那我现在该怎么办？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.9044} 不重要。你可以接受命运，也可以反抗。结果都一样。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.46718} 你可帮不上什么忙，影子。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.10747} 我给你的只是事实。维克托走过那条街，他看见一名审判官摧毁了他的心智。他还看见小镇，他的小镇，因瘟疫而灭亡。从那以后，维克托每天都看着自己在街上所见的一切变成现实。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.60549} 维克托走过那条街时，具体看见了什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.19177} 他看见一名审判官摧毁了他的心智。他还看见小镇，他的小镇，因瘟疫而灭亡。从那以后，维克托每天都看着自己在街上所见的一切变成现实。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.62543} 他在那里看见了什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.28245} 他看见那条街没有按预期运作。他看见尤利娅·柳里切娃犯下了可怕的错误，使整座小镇注定毁灭。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.33952} 你能说得更具体些吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.2755} 这不是我问题的答案。你说那条街把人逼疯。你是什么意思？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.41340} 我已经把你需要知道的都告诉你了，医生。我知道你在想什么。你马上就会决定亲自测试那条街，查明这是否为真。我阻止不了你。你只需要知道，你绝对不该那么做。你正在犯错。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.51919} 我以前见过影子，也曾把人从死亡手中救回来。如果我试着救维克托呢？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.5829} 把他从什么那里救出来？审判机关？恐怕不可能。维克托知道自己会因为那条街受罚。他知道自己的未来。卡尔明斯基来找他时，维克托已经准备好了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.58553} 如果我知道自己会被处决，我会，不知道，逃跑。我会做点什么，随便什么。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.38193} 维克托喜欢讲“撒马拉之约”的寓言。当然，他试过反抗，只是他的每一步都把他带得离那不可避免的结局更近。离他走过那条街时所见的东西更近。他不只是看见自己的处决。他看见小镇，他的小镇，因瘟疫而灭亡。从那以后，维克托每天都看着自己在街上所见的一切变成现实。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.7322} 所以他走过那条街，看见了——什么？卡尔明斯基在未来摧毁他的心智？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.34836} 是的，但不止如此。他还看见小镇——他的小镇——因瘟疫而灭亡。从那以后，维克托每天都看着自己在街上所见的一切变成现实。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.36057} 而他没有试着做点什么？没有采取任何措施？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.22437} ...
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.45060} 为什么沉默，影子？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.40726} ...
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.30860} 你说得好像正是那条街，以及维克托走过它，才把瘟疫带到了镇上。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.32505} 这就是疯话。疯子的呓语。就是这样。我不相信你。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.49958} 恐怕警告已经有点晚了。我走过那条街。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.26915} 如果反过来呢？如果我走过那条街，知道了自己的未来，然后就能改变它呢？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.10541} 所以维克托走过那条街，看见了——什么？卡尔明斯基在未来摧毁他的心智？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.27268} 他们都有自己的日常仪式。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.23294} 我不知道。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.5145} 你可不太健谈。你是要告诉我维克托发生了什么，还是要我继续从你嘴里硬撬话？
