{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.64688} 是你。丹科夫斯基，你的来访很少意味着好事。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.11483} 听起来有点像族民对“线”的信仰。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.44154} 嗯……比如说，你把一条街铺到仓库去，下面地基又薄，还开始让货车在上面跑——迟早会有东西塌下去。你是这个意思吗？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.4253} 到头来，我们寻找的都是同一样东西：证明自己无罪的证据。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.42085} 什么街？它很重要吗？抱歉，我刚来镇上——总是漏掉事情。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.29319} 那是……对我很重要的东西。也许比任何事都重要。从前，我设计过一条街，让走在上面的人能看见自身命运可能通向的不同道路。但结果，那条街让人看见的是他们各自私下的噩梦。而且它似乎会让噩梦成真。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.42} 我以为街道是用来在镇上通行的。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.9626} 我确知有人在那条街上发了疯。不久前我自己也走过一遍——于是我确信问题在我身上，在作者身上。但如果镇子地下真有一整套隧道网络……
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.4836} 你认为那些隧道可能影响了那条街？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.41263} 到头来，我们寻找的都是同一样东西：证明自己无罪的证据。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.39711} 我不止一次听说，整座小镇都是凯恩家用来重塑人的机器。但我一直以为那只是个比喻。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.51270} 老实说，我很久以前就不再明白这一切了。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.52131} 对布拉赫来说，这意味着我们必须拆掉多面体。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Yulia_Tunnels.9540} 你们把这座小镇建在地下血河之上，而感染就在那血里游动。抱歉，但我不相信梦筑师们对那些隧道一无所知。
