{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.587} 看这一步弃子，法师！
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.32584} 街上的藏货点？你建议我把镇上每只箱子都翻一遍？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.41858} 可汗，跟他讲点道理。这也关系到你的狗头人。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.5882} 所以你拒绝处理这桩抢劫，诺特金？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.16321} 你是说你从没听说过那些被偷的面具？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.3431} 我是听他们吹过，说弄了一大票。我还夸他们厉害。但要是你问我有没有检查战利品，那没有。我不会查看他们口袋里的每颗螺母和螺栓。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.13161} 它能预见敌人的走法？确实方便。那边那枚又是什么？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.29774} 哇，医生，你真是什么都不知道，对吧？那是骆驼。走得慢，但能在棋盘中央驮人穿越沙漠。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.53652} 这个，在骆驼旁边，是瘟疫医生。许多人觉得它弱，但只有瘟疫医生能在危险面前撤销前三步。作为古典棋的替代品，很迷人，不是吗？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.45177} 要我说就是废棋！谁也吃不了。它只会宣布别人死了。别说国王，连个小兵都不准剖开。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.54590} 这挺好笑。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.20364} 这一点也不好笑。
