{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.58702} 吼——嗷——
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.9487} 照看好你的面具。找到这一只并不容易。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.1603} 别把这些离奇故事太当真。人确实有几分兽性，但压住它的绝不是一只粗麻布狗面具。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.45480} 我有经验资料，可以让我不同意您的看法，丹科夫斯基医生。无论如何，谢谢您找回了我的脸。我的面具。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.20801} 有意思。你戴上那副面具时，听起来确实像另一个人。像一个人类。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.62724} 您是思想家，丹科夫斯基医生，当然也会承认，或许还有某些自然法则尚未被发现。今日看似儿童游戏的东西，也许有一天会成为基础研究的开端。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.14086} 我没事。不过刚才有一瞬间，我确实担心你会咬我的手。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.65398} 我太羞愧了！我竟然试图咬一位著名科学家……您知道，我刚学会读书，就钻进了百科全书里。尤其是科学百科。对一个孩子来说，那诱惑太大了：化石化的生命形态、演化的任性、身体的内部运作——当然也包括心智，只不过心智也是身体的一个器官……
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.52369} 红，红——杀戮！
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.8090} 红，红——杀戮！哦。真对不起……我没有伤到您吧？我真羞愧……您无法想象，能见到一位著名死亡学家、一位站在科学前沿的研究者，对我是多大的荣幸。可我竟让您看见我这副样子！丢脸。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.53960} 嗷呜……可怜可怜我……
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.31207} 还在低吼，是吗？再等等。我会带着你的面具回来，我保证。
