{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.9592} 啊。学者……你为什么在这里？这算是家事。你有家人吗，学者？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.2128} 我们不在这里揭自家的丑……如果他把我们的习俗报告给首都……那我们就可以和那座我们希望建造新事物的镇子……告别了……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.3275} 也许瘟疫就是从这些不见风的脏衣服里来的。放得够久，就能变成一只漂亮的培养皿……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.23688} 你忘了自己的分寸。别在我面前装傻……学士。若你非要知道，我们这里也有些专门本事。我们已经采取措施……不劳你费心。虫巢已经封锁。屠宰场已经关闭。疫苗已经……制成。我们正在分发。我们不需要你。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.14214} 你在隐瞒什么。你做了什么，奥尔金斯基？说出来。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.31003} 你没有……资格问这种问题。若你非要知道，我们这里也有些专门本事。我们已经采取措施……不劳你费心。虫巢已经封锁。屠宰场已经关闭。疫苗已经……制成。我们正在分发。我们不需要你。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.12973} 我已经有幸见识过你们草原熬粥人的杰作了。我检查过斯塔马京巢穴里的一个舞者。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.31874} 所以你亲眼看见了：疫苗正在……起效。我们最先用的那个女孩……活得好好的。像小山羊一样蹦来蹦去。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.641} 如果你这么看重你的疫苗，尊敬的弗拉德，为什么不让我现在给你来一剂？我很想看你把它打下去。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.18449} 你……呼……你在……暗示什么……？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.15061} 你并不蠢，这点我承认。你知道得足够多，明白自己不该给自己注射未经检验的疫苗。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.4165} 你再说一个字，我发誓……给我一个理由，随便什么理由。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.30127} 拜托，boös（兄长），别这样。丹科夫斯基，你想说什么？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.28974} 怎么？不准备拿自己的健康冒险？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.12324} 那种疫苗保护不了任何人。受试者已经患上瘟疫。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.47398} 赤裸裸的……呼……谎言！你污蔑我的儿子……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.16410} 你确定吗，丹科夫斯基？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.37392} 是的，我确定。医学术语叫“并发间发病”。一种疾病可以减缓另一种疾病的进展。那个舞者患的不止是沙热，所以她还活着。唉，她的日子已经不多了。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.58324} 想听我的意见吗？如果由我负责防疫，我的第一项行动就是停止用那种“死粥”给人接种。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.20274} 我明白了……听着，丹科夫斯基。我希望你接管疫病紧急指挥部。它会赋予你发布法令的权力——关于隔离措施、供给调度，以及任何关乎我们能否得救的事项。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.24190} 很好。我已经厌倦了看别人决策的后果。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.22993} 我们需要一位愿意作决定的医生。就像五年前的伊西多尔·布拉赫。但首先，我们需要通知小弗拉德解除职务。他应当把一切移交给你。告诉他，这是我的私人命令。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.35382} 而你，受尊敬的总督……选择借别人的牙撕开我的喉咙……等客人不在时，我们再谈。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.52985} 我是在为我们的共同目标行事。难道你要雇死人进工厂吗？因为那时劳动力就只剩那样了。但争吵可以稍后。丹科夫斯基，告诉我：起步时你需要什么？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.49653} 我需要建立医院。需要场地。还需要人手。我是说护理员。不是病人。病人也需要，但病人不会短缺。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.37330} 我们会为你提供护理员；从今天起你会有志愿者。找场地会更麻烦。不是随便哪栋建筑都行，对吗？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.47514} 我有哪些选择？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.9883} 这是我能想到的地点：大教堂、剧院、虫巢和多面体。它们都很大，能容纳很多人，虽说原本是为其他用途建造的。你应该亲自去看看，判断有没有能用的。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.39147} 虫巢……不可进入，我已经……告诉过你……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.9117} 好，把虫巢从名单上划掉。但其他地方你要检查。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.39310} 这些地方大多我已经去过了，遗憾的是，它们不适合做医院。不过剧院我还可以检查一下。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.5234} 多面体也可以划掉。我去过那里，它已经岌岌可危。甚至在嘎吱作响。我会检查其他地方。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.63149} 大教堂可以从名单上划掉。我去过那里，不行。那是个古怪的地方，光是待在里面就会压迫神经系统。我会看看其他可能。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.1415} 大教堂可以从名单上划掉。我去过那里，不行。那是个古怪的地方，光是待在里面就会压迫神经系统。我会看看其他可能。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.60938} 好吧……其中有些地方我瞥过一眼，但当时没怎么留意。而且我必须尽快作出选择。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.65122} 想清楚以后回市政厅来。我们会敲定剩下的细节：设备、操作流程……同时，我会找些帮手。作决定的人不必事事亲为。没必要把自己摊得太薄。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.50580} 帮手当然会有用。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.48828} 谢谢你的合作，萨布罗夫。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.52634} 我立刻出发。先去告诉小奥尔金斯基，他不能再签那些危险的法令。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.42252} 你不该……那样说话，学士。你迟早也会流自己的眼泪。你是外来者……你不会被接纳……这里不欢迎你。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.28647} 如果他们想活下去，就会接纳我。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.25597} 这正是我害怕的。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.15571} 谢谢你的临别箴言。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.18017} 需要宽敞，有管道设施，或至少能取到干净的水。最好还有窗户通风。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.18700} 我不太确定……那实际上意味着统治这座镇子。我没有资格。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.14085} 等一下。你们说的疫苗是什么？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.29286} 你们说的疫苗，就是在斯塔马京酒馆里一个舞者身上试验过的那种药吗？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.15508} 虫巢。是的，我听说过。那是你们的工厂宿舍，对吧？我能想象里面是什么状况。顺便，我需要立刻检查那里。请给我一些助手。五十个人左右就够。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.22941} 绝不可能！绝……呼……不可能。除非从我的尸体上跨过去。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.21557} 要我给你叫医生吗？哦，我是整座镇子唯一活着的医生，对吧？我怎么忘了。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.26938} 看你这样喘气吁吁，也许我们不用等太久。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.14830} 我没有重复自己的习惯。把你的讽刺留给别的谈话吧，丹科夫斯基。回到正事。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.5188} 哦，那不是讽刺，我保证。我尊敬的谈话对象看起来身体不适。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.8201} 那就回到正事。他说的疫苗是什么？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.24736} 我的儿子……呼……我不能……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.603} 小弗拉德·奥尔金斯基已经测试过第一支疫苗原型。结果看来很有希望。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.9144} 那么这座镇子有实验室？你们制造疫苗的速度惊人地快。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.9288} 我们确实制造出来了。我的儿子在虫巢里亲自测试。我们已经……呼……有了结果。我告诉你……我们已经采取措施。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.19228} 我不太了解它的测试情况。但看来疫苗确实帮助了几个人。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.2012} 哈！“几个人”。它对所有人都有用！就在今晚，我们给一个志愿者用了它，可以这么说。还活蹦乱跳！
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.5854} 你说他“测试疫苗”是什么意思？他有必要的资质吗？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.15906} 我儿子至少比你更懂这些事。因为这里是他的家。他的领地。结果……结果不言自明。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.5236} 我在哪里可以看到你们的结果？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.28830} 你儿子是医生吗？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.4061} 你又忘了自己的分寸，受尊敬的……学士。我不……需要向你交代。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.22115} 不，他不是医生。但看来疫苗确实帮助了几个人。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.12858} “几个人”。所有人……它对所有人都有用！就在今晚，我们给一个志愿者用了它，可以这么说。还活蹦乱跳！
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.27836} 还活蹦乱跳。我喜欢这个说法。从现在起我要把它写进所有出院小结。那么他在哪里蹦？虫巢？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.24344} 我能看看他吗，你们那位志愿者？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.1696} 我说过，我不会让你进虫巢……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.13175} 你不需要进虫巢。安德烈·斯塔马京声称他把药给了碎心酒馆的人。那是工厂旁边的一家公共酒馆。和某些地方不同，你当然可以顺路进去。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.35715} 明白。我会调查那种混合物。还有什么我需要知道？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.15228} 你需要知道，你在这里……不受欢迎。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.54795} 那我得暂时离开你们的紧急会议——我要去碎心酒馆把某个人逼出来。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.7771} 斯塔马京，是吧。那么他可以向我解释一切。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.21124} 这就是我对你们测试方法的回答。人们知道你们给他们喂的是什么浆糊吗？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.35272} 而你，受尊敬的总督……选择借别人的牙撕开我的喉咙……等客人不在时，我们再谈。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.10126} 我是在为我们的共同目标行事。难道你要雇死人进工厂吗？因为那时劳动力就只剩那样了。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.17651} 是我听错了，还是你的声音里有怀疑？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.4597} 什么怀疑？我的儿子……知道自己在做什么。因为这里是他的家。他的领地。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.14137} 那就回到正事。你们说的疫苗，就是在斯塔马京酒馆里一个舞者身上试验过的那种药吗？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.26366} 所以……你自己也听说了。那我们不需要你也能应付……学士……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.56877} 我不只是听说。我拿到了样本。你介意亲自走一遍流程吗？我很乐意帮忙。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.14360} 我在斯塔马京那里的工作没做完。看来我本该做完。该好好弄清你们这些民间药方了。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.475} 怀疑……你能做的……就是斜眼看别人真正做的事……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.59111} 带着结果回来，丹科夫斯基。我信任你的专业——但我承认，我不愿放弃对治愈的信念。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.31119} 别让虚假的希望蒙住你的眼睛，萨布罗夫。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.59132} 我也希望实验成功。但我有疑虑。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.61275} 各位，等我回来。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.15903} 是的。首都不喜欢自由。这一点我自己也尝过。但我想，在这里，你们对此仍幸福地一无所知。
