{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.53094} 若不是我眼里只有漆黑空洞，我会为你落泪——你把自己的时间挥霍得多么糟！
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.59316} 如同此前亿万人一样。死亡残酷而不公，而你现在必须面对它。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.19703} 所以就这样结束了，什么都没有。没有机会再试一次。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.3564} 就是这样，阁下。永远如此。对那沉默的亿万人都是如此。这段对话也很快会被抹去，归于遗忘。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.33795} 你们和你们那些“艺术选择”都见鬼去吧！
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.40744} 告别了。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.40334} 我不在乎你们的限制。我会回来的。如有必要，我会从头再走一遍这条路！
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.56430} 这么说，你是西蒙灵魂中的一个小血球？
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.5716} 现在你永远不会知道了。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.35266} 好吧。至少告诉我，没有我之后，小镇和死亡学院怎么了。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.9983} 死者无权看到结尾。对他们来说，不再有结局，不再有第三幕反转，也没有公正的高潮。死亡是丑陋的东西，阁下；你现在必须直视它。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.41983} 所以游戏结束了？
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.46602} 抹除，结束。死亡残酷而不公，而你现在必须面对它。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.45483} 好，好，我就……稍微偏离剧本，把胶片倒回去。用一种不自然的方式倒带……
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.40498} 你还是不明白。胶片已经烧毁，镜头已经砸碎。你的故事被抹去了，你已经迎来最终结局。
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.4712} 我真的努力过！可一切溜得太快，我堵不上那些缺口……
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.42290} 真令人悲伤。唉……
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.3962} 现在呢？
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.64400} 什么也没有。\n\n我们警告过你，尝试次数有限。错误的代价很高。时间会滑走，会逃逸；抓住它，否则它就没了。你像是要把它抛来抛去，可所有碎片都散落了……
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.46059} 按哪个键能回到小镇再试一次？
{Dialogs2.Days.Day0.Day0_Q1.1_NoLastWarning.Day0_Q1.1_Shadows_GameOver.31786} 没有。\n\n我们警告过你，尝试次数有限。错误的代价很高。时间会滑走，会逃逸；抓住它，否则它就没了。你像是要把它抛来抛去，可所有碎片都散落了……
