{ArchiveDialogs.Day6.Q2_LaraBurakh.48} 我说了，你不准去。
{ArchiveDialogs.Day6.Q2_LaraBurakh.5} 拉拉，安静点。你比我更了解这些人。他们不是第一批。
{ArchiveDialogs.Day6.Q2_LaraBurakh.6} ⁠
{ArchiveDialogs.Day6.Q2_LaraBurakh.7} 恐怕只剩我们了，熊。墓地已经塞满了，听见了吗？我们现在该怎么办？
{ArchiveDialogs.Day6.Q2_LaraBurakh.8} ⁠
{ArchiveDialogs.Day6.Q2_LaraBurakh.9} 一切都会好起来的，明白吗？
{ArchiveDialogs.Day6.Q2_LaraBurakh.10} ⁠
{ArchiveDialogs.Day6.Q2_LaraBurakh.11} 你答应吗？
{ArchiveDialogs.Day6.Q2_LaraBurakh.12} ⁠
{ArchiveDialogs.Day6.Q2_LaraBurakh.13} 我保证。
{ArchiveDialogs.Day6.Q2_LaraBurakh.14} ⁠
{ArchiveDialogs.Day6.Q2_LaraBurakh.15} ……丹尼尔？
{ArchiveDialogs.Day6.Q2_LaraBurakh.16} 我。
{ArchiveDialogs.Day6.Q2_LaraBurakh.17} 医生已经来了。他会弄清楚的。
{ArchiveDialogs.Day6.Q2_LaraBurakh.18} 有人向我报告这里出了问题。解释一下，这里在发生什么。
{ArchiveDialogs.Day6.Q2_LaraBurakh.19} 你忘了现在是什么局势吗？我派了信使巡查，就是为了让像你们这样的人老老实实待在原地，而不是把传染带遍全城。
{ArchiveDialogs.Day6.Q2_LaraBurakh.20} 你，布拉赫，不该离开医院。
{ArchiveDialogs.Day6.Q2_LaraBurakh.21} 我和你一样也有工作，医生。我是在解决问题。
{ArchiveDialogs.Day6.Q2_LaraBurakh.23} 据我了解，布拉赫，你现在应该在别处工作。这群人很快就会成为你的病人。你解决问题的本事真不错，同事。
{ArchiveDialogs.Day6.Q2_LaraBurakh.27} 医院已经得到控制。你要是亲自去过，就会知道它是怎么运作的。医生。
{ArchiveDialogs.Day6.Q2_LaraBurakh.29} ⁠
{ArchiveDialogs.Day6.Q2_LaraBurakh.30} 求你们了！这里还有人！你们怎么像羊一样？
{ArchiveDialogs.Day6.Q2_LaraBurakh.31} 布拉赫？
{ArchiveDialogs.Day6.Q2_LaraBurakh.32} 请你终于解释一下，这里到底发生了什么。
{ArchiveDialogs.Day6.Q2_LaraBurakh.33} 屋里有死于瘟疫的人。别激动，先听我说。人们自己想把他们埋掉，哪怕埋在这栋房子的后院里。墓地已经没有地方了。他们不会让你焚烧尸体。
{ArchiveDialogs.Day6.Q2_LaraBurakh.35} 他们会的。
{ArchiveDialogs.Day6.Q2_LaraBurakh.44} 别管他们！你没看到你在吓唬他们吗？走吧。人们会把死者带到墓地，好好安葬。
{ArchiveDialogs.Day6.Q2_LaraBurakh.46} 拉拉，你有点混乱。我有问题要问你。
{ArchiveDialogs.Day6.Q2_LaraBurakh.47} 我已经都决定了。
{ArchiveDialogs.Day6.Q2_LaraBurakh.36} 我简直不敢相信自己的耳朵。你到现在还什么都没明白吗？
{ArchiveDialogs.Day6.Q2_LaraBurakh.37} 是你没明白。他们在和自己的死者说话。有个女孩是引路人。如果尸体被烧掉，就再也没人能交谈了。这种手段……不近人情。
{ArchiveDialogs.Day6.Q2_LaraBurakh.39} 你听听自己在说什么？我没想到会在你身上碰到这么顽固的迷信。
{ArchiveDialogs.Day6.Q2_LaraBurakh.40} 希望你明白，尸体必须焚烧。
{ArchiveDialogs.Day6.Q2_LaraBurakh.41} 我亲自和父亲谈过。你只是不了解那是什么感受。你像个孤家寡人一样思考。而我还有东西会失去。
{ArchiveDialogs.Day6.Q2_LaraBurakh.43} 好吧，我确实是个孤家寡人。因为我肩膀上还长着脑袋。
{ArchiveDialogs.Day6.Q2_LaraBurakh.24} 你呢，劳拉？隔离对你来说是个笑话吗？
{ArchiveDialogs.Day6.Q2_LaraBurakh.25} 好啊你！要不是我，你们还会坐在那里一无所知！
{ArchiveDialogs.Day6.Q2_LaraBurakh.26} 你引起了太多注意。向我报告就够了。是你请求那位富有同情心的布拉赫医生离开医院的吗？
