{ArchiveDialogs.Day6.Q2_PetrNotDead.1} 还好，你来得真及时。告诉我 - 如果孩子哭了怎么办？
{ArchiveDialogs.Day6.Q2_PetrNotDead.2} 跑步。
{ArchiveDialogs.Day6.Q2_PetrNotDead.126} 他不会跌倒的。平静地走吧。
{ArchiveDialogs.Day6.Q2_PetrNotDead.133} 委托这个女孩拉斯卡做一些工作。或者教我怎么读。
{ArchiveDialogs.Day6.Q2_PetrNotDead.134} 别再喝酒了，彼得。救救你的头吧。至少对于艺术画廊来说是这样。
{ArchiveDialogs.Day6.Q2_PetrNotDead.122} 你是怎么安排的？是的，甚至在河底下。建造这样的地雷而不破坏城市是不可能的。
{ArchiveDialogs.Day6.Q2_PetrNotDead.127} 花了多少钱？
{ArchiveDialogs.Day6.Q2_PetrNotDead.128} 对于这些计算，请前往该隐。只有维克多不会给你看。
{ArchiveDialogs.Day6.Q2_PetrNotDead.129} 如果这是真的的话...
{ArchiveDialogs.Day6.Q2_PetrNotDead.131} 这是难以置信的。在实践中这是不可能做到的。
{ArchiveDialogs.Day6.Q2_PetrNotDead.115} 还有多长时间？十五公里？
{ArchiveDialogs.Day6.Q2_PetrNotDead.116} 短得多。
{ArchiveDialogs.Day6.Q2_PetrNotDead.118} 也就是带到城下，到达屠宰场？
{ArchiveDialogs.Day6.Q2_PetrNotDead.111} 这是图纸。我会尝试进入其中。
{ArchiveDialogs.Day6.Q2_PetrNotDead.48} 支架可以支撑多大的质量？
{ArchiveDialogs.Day6.Q2_PetrNotDead.49} 呃…这是一个过程吗？
{ArchiveDialogs.Day6.Q2_PetrNotDead.109} 你是怎么想到这个的？
{ArchiveDialogs.Day6.Q2_PetrNotDead.101} 我想建造同样的一个。
{ArchiveDialogs.Day6.Q2_PetrNotDead.102} 是的，医院里的纸不够了。
{ArchiveDialogs.Day6.Q2_PetrNotDead.34} 这是一种精神障碍。不是我的专业领域。
{ArchiveDialogs.Day6.Q2_PetrNotDead.39} 做什么？也许你有一些药片？当它到来时你会做什么？
{ArchiveDialogs.Day6.Q2_PetrNotDead.43} 到时候我就去工作。工作可以治愈。因此，请不厌其烦地展示你的多面体是如何工作的。
{ArchiveDialogs.Day6.Q2_PetrNotDead.35} 这是一个适应。给你的孩子时间。
{ArchiveDialogs.Day6.Q2_PetrNotDead.41} 她是因为我而哭吗？
{ArchiveDialogs.Day6.Q2_PetrNotDead.42} 好像还没有足够的理由。多面体是如何构造的？
{ArchiveDialogs.Day6.Q2_PetrNotDead.53} 并且出现了？
{ArchiveDialogs.Day6.Q2_PetrNotDead.76} 对我来说，是的。但对于拉斯基来说，情况却恰恰相反。我再次以别人的代价为生。我吸取别人的血，我将别人的生命包裹在我自己的生命之中。
{ArchiveDialogs.Day6.Q2_PetrNotDead.77} 为什么要“再次”？这是关于安德烈的事还是什么？
{ArchiveDialogs.Day6.Q2_PetrNotDead.78} 出色地。
{ArchiveDialogs.Day6.Q2_PetrNotDead.85} 请获取你的塔的蓝图。
{ArchiveDialogs.Day6.Q2_PetrNotDead.86} 顺便问一下，这个拉斯卡她在哪里？
{ArchiveDialogs.Day6.Q2_PetrNotDead.87} 睡眠。
{ArchiveDialogs.Day6.Q2_PetrNotDead.89} 这意味着她不会一直哭泣。已经很好了。但她在酒馆里肯定没什么事可做。别再制造白痴了。
{ArchiveDialogs.Day6.Q2_PetrNotDead.93} 你现在可以工作吗？
{ArchiveDialogs.Day6.Q2_PetrNotDead.79} 我有事要找你。
{ArchiveDialogs.Day6.Q2_PetrNotDead.80} 没关系，你们两个很合适。要有耐心。
{ArchiveDialogs.Day6.Q2_PetrNotDead.82} 我在她身上看到了自己。这哪有什么耐心啊…
{ArchiveDialogs.Day6.Q2_PetrNotDead.83} 请获取你的塔的蓝图。
{ArchiveDialogs.Day6.Q2_PetrNotDead.84} 顺便问一下，她在哪儿？
{ArchiveDialogs.Day6.Q2_PetrNotDead.30} 还活着，我作证。
{ArchiveDialogs.Day6.Q2_PetrNotDead.3} 好吧，我毕竟不是神经科医生。
{ArchiveDialogs.Day6.Q2_PetrNotDead.4} 不知道。当人们有很多空闲时间时，他们会哭泣。
