{ArchiveDialogs.Day6.Q1_EvaPrologue.111} 早起的袜子清鼻子，晚起的眼睛睁不开。
{ArchiveDialogs.Day6.Q1_EvaPrologue.160} 你在帮我。你听我说。你是这里唯一会听人说话的人。
{ArchiveDialogs.Day6.Q1_EvaPrologue.139} 显微镜。第三天的样本——好像是脾的刮取物……第三天有什么事不对。
{ArchiveDialogs.Day6.Q1_EvaPrologue.225} 不重要。我的世界图景错了。
{ArchiveDialogs.Day6.Q1_EvaPrologue.131} 孩子们。发现你盯着多面体看，就在那儿嘀咕。他们只是玩，别骂他们。
{ArchiveDialogs.Day6.Q1_EvaPrologue.132} 对，没错。多面体……那里到底，见鬼……补给。支撑。隔离病房。会不会倒……
{ArchiveDialogs.Day6.Q1_EvaPrologue.135} 可怜的你，可怜的你。还有什么压着你？
{ArchiveDialogs.Day6.Q1_EvaPrologue.124} 丹尼尔，为什么你这么在意！又是同一件事……你和这个西蒙，简直把我逼到绝望，真的逼到绝望！
{ArchiveDialogs.Day6.Q1_EvaPrologue.125} 他死了吗？我昨天才见过他。
{ArchiveDialogs.Day6.Q1_EvaPrologue.215} 那是乔治，他的兄弟。
{ArchiveDialogs.Day6.Q1_EvaPrologue.216} 既然你这么说。你当然不会错。你怎么说，就怎么算。
{ArchiveDialogs.Day6.Q1_EvaPrologue.227} 但愿借你吉言……
{ArchiveDialogs.Day6.Q1_EvaPrologue.228} 喝柠檬草。
{ArchiveDialogs.Day6.Q1_EvaPrologue.217} 不是，真的是西蒙！你以为我分不清他们？我的眼睛还在，而且不止眼睛在。
{ArchiveDialogs.Day6.Q1_EvaPrologue.220} 等等……你在开玩笑？确定吗？在哪？
{ArchiveDialogs.Day6.Q1_EvaPrologue.221} 是，开玩笑。开玩笑的……你冷静点。
{ArchiveDialogs.Day6.Q1_EvaPrologue.222} 在街上。妮娜纪念碑附近。当然，他现在已经不在那里了。
{ArchiveDialogs.Day6.Q1_EvaPrologue.209} 你心脏不好，喝这个有害。等等……你哪来的柠檬？
{ArchiveDialogs.Day6.Q1_EvaPrologue.212} 又不是给我，是给你的。柠檬是我偷偷弄来的。你可别告诉别人。
{ArchiveDialogs.Day6.Q1_EvaPrologue.213} 集中精神，回答我的问题：你们的西蒙是什么时候死的？
{ArchiveDialogs.Day6.Q1_EvaPrologue.117} 视镜在哪里？
{ArchiveDialogs.Day6.Q1_EvaPrologue.118} 你总是带在身上。就在这里，肚子这里。怎么了？
{ArchiveDialogs.Day6.Q1_EvaPrologue.121} 请别把手伸那里。你太没分寸了。这事我们已经说过不止一次。
{ArchiveDialogs.Day6.Q1_EvaPrologue.202} 没什么……只是想透过它看看你，你实在太黏人了。医学上叫接触传染性。
{ArchiveDialogs.Day6.Q1_EvaPrologue.181} 几点了？
{ArchiveDialogs.Day6.Q1_EvaPrologue.197} 这对你有什么分别？只要数还剩多久到终点就行。
{ArchiveDialogs.Day6.Q1_EvaPrologue.198} 好像我眼前一直有这么个倒计时似的……
{ArchiveDialogs.Day6.Q1_EvaPrologue.199} 哦，真的吗？你知道吗，我命运里那只方便的沙漏偏偏和条纹手提包一起不见了。
{ArchiveDialogs.Day6.Q1_EvaPrologue.182} 今天是第几天？
{ArchiveDialogs.Day6.Q1_EvaPrologue.189} 第六天。如果从你来这里算起。若按我的来算，是第一千一百七十六天。最后一位数倒是一样。
{ArchiveDialogs.Day6.Q1_EvaPrologue.190} 你真数过？
{ArchiveDialogs.Day6.Q1_EvaPrologue.191} 你的记性可真好。
{ArchiveDialogs.Day6.Q1_EvaPrologue.183} 斯皮奇卡在哪？
{ArchiveDialogs.Day6.Q1_EvaPrologue.184} 大概在口袋里。这一次你抽到了哪根？
{ArchiveDialogs.Day6.Q1_EvaPrologue.185} 短的。这个该死的世界里根本没有别的。
{ArchiveDialogs.Day6.Q1_EvaPrologue.186} 长的，像永恒一样长。
{ArchiveDialogs.Day6.Q1_EvaPrologue.192} 怎么解释你这突如其来的健谈？
