{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.58710} 先生——医生？您已经来了……能给我半分钟，让我找一下病人病历吗？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.30842} 我这么说吧：托您的努力，我们现在已经很了解瘟疫了！本来或许能完成一次跃升……登上新的一级。可现在——我的心告诉我——火车已经开走了。不如说，它刚刚到了——军队的列车。我们马上会有完全不同的麻烦，而您尤其如此。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.32260} 现在你还成了先知？放弃这门吃力不讨好的行当吧。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.26885} 我也有这种担忧：某件关键的事没有做成，而生活并不会停下来等人。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.47251} 嗯……我把时间花错了地方。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.46511} 别戏剧化。把病人病历交给我——你还有半分钟。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.32037} 这担忧不无道理。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.51522} 你什么意思？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.39094} 要是能把我们的普通病例和一个完全没有治疗、却带着瘟疫活得更久的并发病人比较就好了……如果我们需要的病人正在某处游荡，军队真会分辨吗——他是五小时还是五天才进入重症？他们会不加分辨地对所有人做那件事……您知道的，军队通常会做的那种事。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.42515} 找一个未受干预却进入重症阶段的并发病人？嗯。有意思。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.31241} 病历为什么还没准备好？振作点，小家伙。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.43474} 你这是怎么了？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.38786} 请原谅，都是些无用的念头。从早上起，我就一直在后悔昨天那个病人的事——就是您在封板屋里找到的那个人……而现在也不会有机会了：如果我们需要的病人正在某处游荡，军队真会分辨吗——他是五小时还是五天才进入重症？他们会不加分辨地对所有人做那件事……您知道的，军队通常会做的那种事。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.37067} 别惊慌。也别诽谤军队。就我个人而言，我很高兴他们来了。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.5607} 我真的很想完成一次跃升……登上新的一级。而现在——我的心告诉我——火车已经开走了。不如说，它刚刚到了——军队的列车。我们马上会有完全不同的麻烦，而您尤其如此。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.57923} 这担忧不无道理。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.36619} 病历已经在我手上了。别担心。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.28676} 我这脑袋真是漏风——真的！我今天不太像自己。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.62835} 不如告诉我这个。昨天，在那座封板屋里，我找到一个人——大概比我们所有病人都与沙疫共存得更久。你研究过他吗？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.7693} 不如告诉我这个。昨天，在那座封板屋里，我找到一个人——大概比我们所有病人都与沙疫共存得更久。你研究过他吗？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.56473} 发生什么事了吗？
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.50877} 集中精神，小家伙。
{Dialogs2.Days.Day9.Day9_Q19_TochechkaDevouring.Day9_Q19_Watson_NoDiscoveryToday.62779} 你这是怎么了？
