{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.27445} 问题是……钟到底敲了几下？我一定漏听了。十四下？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.20896} 总之，只有鸣钟的时候它才会铸造时间。所以别担心，进去吧。那是个有趣的地方。安宁。能刷新人的灵魂。偶尔还会延长人的寿命。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.12735} 胡说！胡说！它鸣不鸣钟根本不重要！完全取决于人！还有个人的运气！
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.20293} 问题是……钟响了多少下？我一定错过了。十四下？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.28595} 医生不是懦夫！他不怕你们这些小故事！他会笑话它们！对吧，医生？进去！进去！这是您的职责，不是吗？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.14819} 医生正在拼命保存自己的理智。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.18820} 我会进去。我正需要额外的几个小时。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.29767} 当然，孩子。你说得对，这是我的职责。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.22190} 问题是……钟响了多少下？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.4337} 有人被套进循环了，是吗？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.15884} 我倒想知道，你们这些个人小时到底怎么测量。时间客观上在人之外，我会这么说。至少它过去是这样。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.5318} 你们这座大教堂真是一台有用的机器，不是吗？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.1151} 这怎么可能？它已经铸造出很多时间了吗？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.29599} 一栋建筑怎么能增加或扣减小时与日子？还是你们的日子本来就被数好了？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.30558} 你们为什么像孩子看糖果铺一样看着它？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.7649} 告诉我……它为什么又在鸣钟？它似乎是按时报时——可现在这阵喧闹又是什么？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.1563} 您就是首都来的医生？你们首都也有这种东西吗？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.29566} 他们哪会有？一个在劳动、新鲜空气和思想崇拜中养出来的人，会用这么呆的眼睛看教堂吗？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.1653} 想必你自己强多了。你这么聪明，就进去啊。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.14692} 你们在说什么？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.9026} 说教堂。听见钟声了吗？那不是礼拜，不是警钟。那是奇迹。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.14644} 奇了个怪。没什么可高兴的。一个机制装好了，却多出一枚零件，你得用余生琢磨这事怎么发生、又怎么把零件装回去——这算什么奇迹？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.7806} 你说的是什么钟声？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.9972} 这是对世界法则的病态破坏。简单说，是异常。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.18895} 还有别的意见吗？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.18192} 我们都知道，教堂响钟时，里面会发生什么。某种奇怪的事，没人能解释。你觉得头晕吗？我就有点站不稳。这全是教堂。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.22575} 一看就知道，你们城里没什么事可做。这只是栋建筑，走进去就行。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.10516} 进去啊。进去，进去。去吧。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.14242} 这是威胁？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.10630} 你以为你在这儿最聪明？那就进教堂。我们不会替你可惜。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.15600} 我会进去。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.9908} 迷信就是这么造出来的。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.9673} 说得具体些。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.18469} 我知道教堂并不履行它的功能。里面有什么？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.12585} 一座巨大的漏壶……
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.19511} 就这些？
