{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.64820} 我刚把地拖干净，你就这样一路踩过来！你知道要把它擦干净费了我多久吗……
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.13915} 谁愿意承认那种丢脸事？问题是，一辈子的酒鬼反倒以此为荣，新近才染上的才会羞愧。我希望他还知道羞愧……谁又说得准。他像变了个人！据我所知，他现在已经完全丢了自己。彻底疯了！
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.27905} 疯了？又有新东西。你只是指浴室那件事，还是另有证据说明他“疯了”？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.4526} 他会发作，你知道！他砸浴室之前，每晚我都听见他门后传来嘀咕声。他独居——没有家人，也没人去看他。我和丈夫曾是他唯一的朋友……他开始自言自语，那就是确定的征兆。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.60690} 你为什么不一开始就说？你看起来像个聪明女人，可连你也让人像拔牙一样才能问出信息！这完全改变了图景！
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.13806} 那你呢？你进门时为什么不立刻脱鞋？因为你没想到！我也没想到那些嘀咕声。现在我全说了吗？我也有极限。拖地已经够难，讲一个旧朋友的坏话更难。我替那个可怜的笨蛋难过。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.2987} 你也许终究是对的。幻觉确实指向谵妄。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.16222} 好了，我们结束了吗？我也有极限。拖地已经够难，讲一个旧朋友的坏话更难。我替那个可怜的笨蛋难过。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.5459} 我不认为他的思绪是不连贯的。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.49400} 菲拉特呕吐了。这才重要。这是此前未记录的症状。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.17870} 我已经问过菲拉特，他说自己远离酒精。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.57545} 也许这就是他不想让我进他家的原因。他羞愧。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.24986} 所以你们很熟？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.55858} 你们在同一栋房子住了很久吗？你很了解他？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.2608} 我们从小就认识。他像我丈夫的兄弟。我照顾了他一辈子，打扫、做饭，还有那些事。他是个孤人，没人照看，我帮他也不算太麻烦。毕竟我们是邻居，也是朋友。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.15988} 菲拉特有你这样的人，算是幸运。再这样下去，我都要开始羡慕住在这种人人相识的小镇里的人了。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.4829} 我理解，被砸烂的浴室是他干的？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.23336} 是，他干的。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.5740} 这里面没有好事……可你这样说，像是把沙疫都咒到他头上了，是不是太重了？毕竟只是个浴室……
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.16543} 他经常这么失控吗？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.712} 我是医生。菲拉特是我的病人。而我的职责是弄清他到底患了什么。顺便说一句，你的命也可能取决于此。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.24291} 菲拉特现在在医院。他正在观察中。我来这里是为了弄清他怎么病的。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.31645} 看看这片毁坏！真壮观。到底怎么弄成这样的？
