{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.65291} 客人要来玩猜谜！他会玩的！告诉我们，我们现在最喜欢的游戏是什么？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.29884} 像院子看守那么可怕吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.30854} 你知道“城市”这个游戏吗？第一个人说出一个城市或镇子的名字。它名字的最后一个字母，要成为下一个城市的第一个字母。就从你们镇子的名字开始！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.44218} 噢，这是圈套吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.34273} 我不确定这游戏能不能在屋里玩。你需要娃娃和一个沙盒——里面还得有虫子。要是洒点水，就会有很恶心的沙泥……有人教过我这个游戏，但我不记得是谁了。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.65015} 沙盒很有意思！我们就该去沙盒里玩！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.41782} 你们中有人画画很好看。你们最喜欢的游戏一定和画画有关。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.34899} 你喜欢我的画吗？噢，我现在想躲起来！每次有人夸我，我都会这样。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.115} 对，我们玩过那个。克莱门汀画过我们每个人在多面体里会是什么样子。不过那是以前的事了。我们现在有个新游戏——我们最喜欢的。你猜错了，先生。错了！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.56476} 我不是草原生活专家，但你们大概是在玩一种传统草原游戏。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.56152} 要玩草原游戏，就得去草原。我们现在不能去——不被允许。塔比哈吉。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.28956} 草原游戏很——可怕——而日子已经变得够可怕了，我们不需要更多吓人的东西。我们现在有个新游戏——我们最喜欢的。你猜错了，先生。错了！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.18683} 你们大概喜欢玩医生，像我一样。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.61744} 那是萨夫卡最喜欢的游戏！他治好了杰利，我们的小公牛。你见过杰利吗？我就是不明白，萨夫卡一开始为什么说那头牛病了。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.59022} 只有萨夫卡喜欢这些病来病去的东西。药片啦，没药片啦，张大嘴，告诉我哪里疼。无——聊！谁喜欢那个？一开始还好玩，可很快就腻了。我们现在有个新游戏——我们最喜欢的。你猜错了，先生。错了！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.26730} 我不太确定你们的游戏到底是什么，但你们不玩玩具——而是玩家里的东西。比如杯子。你们是在假装有客人？还是开酒馆？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.29045} 他怎么猜出来的？真是大聪明！太厉害了。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.3467} 我就说，他又好又聪明。像基拉一样。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.21819} 我觉得你们喜欢玩玩具。讲娃娃和小公牛的故事。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.48174} 那头小公牛很好，对吧？他叫杰利。我喜欢杰利去天堂探望母牛的时候。斯缪喜欢他坐火车去城里上学的时候。萨夫卡喜欢杰利生病的时候。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.45057} 你们有件真正的宝贝——药盒里的那些甲虫。这一定是你们最喜欢的游戏。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.41530} 对，宝贝！抓住它们可难了。胡舍尔拜嘎。我们得挤进砖缝里的一个洞，可没提前想好怎么出来！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.54146} 我们确实很喜欢和甲虫玩，现在它差不多是我们最喜欢的游戏。但排第一的是另一个游戏。最重要的那个。你猜错了，先生。错了！
