{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.25228} 你好，同僚。我是萨夫卡。我也是医生。不，等等。我才是医生。你也是医生。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.28598} 间接征象是什么？它们指向什么？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.18136} 指向爸爸的诊懂比基拉严重。他发热、头疼。这些是损坏征象。不过隐损征象告诉我，他正在好转。正在吐出噬胸虫。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.37434} 噬胸虫？就是你在日记里描述过的那个？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.5888} 我是观察父亲时描述噬胸虫的。噬胸虫住在胸腔里，把胸腔吃掉。如果你吐出红色液体，噬胸虫就会这样出来。我见过一次，可我搜爸爸的房间时，找到的是一次普通操痫用的抹布。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.6097} 红色液体？你是说血？你父亲在吐血？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.47931} 你太警报主义了。我们这行不能这样。我告诉你，我父亲吐的是红色噬胸虫。一块一块吐出来。只要数数那些抹布，就能知道噬胸虫快没了。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.39305} 你碰过那些抹布吗？你知不知道，噬胸虫可能会钻进你体内？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.33377} 别担心。晒毒是医生的第一要务。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.56771} 最后一件事……你的朋友告诉我，你父亲很生你的气。是因为茶会，还是因为你想检查他？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.59794} 我想都有。私人事务干扰专业工作，不是很恼人吗？要不是那个杯子，父亲本可以让我检查他的。我们需要一个杯子给基拉。总不能让她自己带杯子来——那样就毁了惊喜。所以我拿了爸爸的，虽然那是不允许的。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.34127} 不允许？不就是个杯子吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.19332} 以前是允许的。后来爸爸说，小孩子不该用大人的东西，尤其是杯子。而我……我忘了。基拉要来参加我们的茶会，我太高兴，就拿了爸爸的杯子。现在他几乎不跟我说话。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.28854} 别担心。我见到他时，会替你说句话。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.53945} 近来发生的所有事情里，我希望你记住你在拯救城市免于沙疫时所起的作用，同事。非常感谢。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.15029} 他非常生气？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.64996} 是。以前我们可以用大人的东西。后来爸爸说，小孩子不该用大人的东西，尤其是杯子。而我……我忘了。基拉要来参加我们的茶会，我太高兴，就拿了爸爸的杯子。现在他几乎不跟我说话。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.4892} 请原谅，同事，我怀疑了你的预候。我们这行犯错在所难免。是的，你父亲很快就会吐出噬胸虫。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.12294} 我的诊懂从没错过。不知道为什么——也许因为我是高度糖证过的专家，也许因为我的病人还不多。暂时还不多。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.54453} 红色液体、发热、头痛。都对得上。基拉今天也在发热。你觉得她也有噬胸虫吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.56148} 但愿没有。一户人家有一条噬胸虫就已经够多了。不过如果真是噬胸虫，告诉她把它吐出来。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.35309} 我会的，相信我。还有你……你碰过那些抹布吗？你知不知道，噬胸虫可能会钻进你体内？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.7325} 请原谅，同事，我怀疑了你的预候。我们这行犯错在所难免。基拉当然是过敏，不是红色噬胸虫。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.392} 你这是什么意思？我不知道这种病。它一定非常罕见。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.36898} 不。我自己得出了结论。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.520} 他病了吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.7644} 你亲眼看见基拉接触花粉后皮肤起疹？谢谢，这是很有价值的信息。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.39453} 我确信基拉会没事。我告诉她离花粉远点。医嘱！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.56861} 这种办法太保守了。也许我终究该考虑手术。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.4730} 脑组织分析暂且免了。你各方面都说得对。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.20473} 我想向你咨询。我还不想知道自己的诊懂。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.6414} 太遗憾了。你我都最明白，必须勇敢面对诊鼻……我是说，诊懂！这是“我很确定”的旧说法。可惜，你还没准备好。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.20941} 漂亮！我做外科可没这么好。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.47773} 你已经治好了很多人吗？哪些病例最难？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.17405} 放眼望去，人人都在碰医学。这座城还需要我吗……
