{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.59478} 你相当执着，学者。这些墙仍在为西蒙哀悼。这座宅邸还没准备好接待客人。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.26952} 在首都，用冷嘲的问题苛责一个正在丧亲的家族，是被视为可接受的吗？您不过是个粗鄙之徒，学者。您唯一关心的就是您自己和您自己的事务。请立刻离开炉宅。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.33959} 乐意之至。你的兄长也许是一种现象，但你和我没什么可谈的。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.46697} 抱歉，我失态了。我不该把自己的绝望发泄到你身上。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.13405} 太迟了，学者。您已经越过了一切合理的界线。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.35838} 我错了。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.13515} 所以这就是你以后拒绝和我说话的原因……
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.46928} 那就留下一句粗鄙的临别话吧：我厌倦了拐弯抹角。我知道西蒙的遗体被偷走了。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.18654} 那请允许我换一个问题。西蒙的遗体在哪里？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.47974} 您想检查它？我必须拒绝。葬礼和遗体的准备，是我们家族的事务。一项家族仪式。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.21479} 我理解。但研究他的长寿，不正是西蒙自己的愿望吗？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.12566} 你害怕吗？你觉得我检查遗体会揭示出西蒙并非奇迹，而只是一个再普通不过的人？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.16153} 所以您自认为是个揭伪者？这是一件廉价而粗俗的事，学者。请立刻离开炉宅。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.55868} 这一切到底有什么意义，格奥尔基？我知道你不能让我看西蒙的遗体。它被偷走了。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.7884} 您知道？如何知道？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.38324} 这不重要。我知道，就是如此。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.34011} 嗯……您说得对。遗体不在我们这里。而您知道这一点，比您想象的更重要。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.63241} 怎么说？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.40291} 西蒙预先告诉我，您会来。他对我说：“第二天会有一名医生抵达，并要求查看遗体。如果他说遗体被偷走了，那就是他。告诉他去寻找它。”
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.27934} 他预先告诉过你？不可思议。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.28402} 我当时不明白他说的被偷走的遗体是什么。而现在您就在这里，学者，说出了我一直等待的那句话。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.10369} 希望从现在起，我们的谈话会有所不同。让我们从头开始吧。告诉我西蒙是怎么死的。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.5130} 我知道的比您希望的少。西蒙去世前不久失踪了。我们和镇民都好几天没有见到他。半夜里，他回来了，吩咐家里所有人一周内不得吃肉、不得喝水。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.42518} 为什么要禁肉禁水？这是某种习俗吗？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.46468} 是的。丧礼的习俗。当时我以为西蒙在为某个重要人物安排葬礼，之后会告诉我们。结果他安排的是自己的葬礼。现在我确信，他知道自己正在死去。随后，他把自己锁进焦点，说任何人不得打扰。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.38312} 这个“焦点”是什么？是我们现代意义上的焦点？还是某种博学的引用，指拉丁语原义中的炉火？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.42345} 两者都是。焦点是……西蒙的私人空间。它确实有一个实际的入口，位于炉宅的一翼；那里现在由我们的弟弟维克托居住。那一翼过去属于西蒙。但等维克托长大时，西蒙已经学会了……操纵空间，只凭一间书房便容纳他的一切所需。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.50220} 我不明白……所以西蒙的书房另有玄机？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.53278} 焦点就是西蒙的书房。它也是他的卧室。同时也是他的工坊、图书室、实验室，以及他需要它成为的任何东西。但焦点同时也是一种状态。一种与物质状态共振的心智状态。发现这种共振，是他一生最伟大的成就之一。他死在那里，我并不意外。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.38903} 您的解释除了激发人的想象，似乎没有别的作用。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.24735} 除非主人有意允许，否则无人能够进入焦点。然而，那一夜……那一夜我醒来时，有一种无法抗拒的冲动，驱使我去敲门。我无法解释。就像有一枚钩子嵌进我的心里，把我拖向那扇门。西蒙没有回应，但我……我进去了。他已经死了。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.13913} 你究竟看见了什么？在任何东西被移动之前留下的证词非常重要。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.20837} 我……不确定自己的记忆。它被震惊、被焦点的影响遮蔽了……遗体的状态令我震惊。扭曲，残破，仿佛遭受过酷刑。像有某种无形的力量从西蒙身上绞出了它所能绞出的全部痛苦，而他抗争到了最后。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.29204} 我知道你说自己不确定，可是……这难道不意味着西蒙是被谋杀的？有人潜入书房，然后……
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.60953} 除非是西蒙亲自让凶手进去。守卫焦点的并不是锁。何况，我不认为一名访客还能保有结束一条生命的能力。正如我告诉过您的，它是一种心智状态，而不是三维空间。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.41008} 即便如此，我还是想检查他死亡的地点。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.46} 既然您已经证明自己就是西蒙所等待的人，我不会，也不能反对。问题在于，焦点是否也会这样认为。去维克托所在的那一翼试试吧。我无法帮助您。事实上，我甚至没能帮助我的侄子们，没能帮助我自己的凯恩血脉。这是一场每个人都必须独自接受的试炼。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.22528} 谢谢。为您的准许，也为这场谈话本身。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.42042} 祝您好运，学者。有空不妨再来。我相信，和西蒙的客人之间，我总能找到许多可谈之事。还有一件事：我确信您会找到遗体，并研究它。我……我愿意把它托付给您。但请答应我，您会查明那个窃贼是谁。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.62664} 当然。这样做符合我们的共同利益。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.42768} 我感兴趣的是遗体，不是窃贼。如果遗体找到了而犯人没有找到，我会把追查的事留给您。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.54742} 我有自己的怀疑……但目前还没有任何凭据可以证实。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.14227} 我必须进去。也许那里仍有线索……
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.31511} 你知道吗，格奥尔基，听完你说的这些之后，西蒙的书房令我在意的，已经不只是它作为死亡现场这一点了。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.60193} 我想检查他死亡的地点。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.42579} 那么，请接受我特别的哀悼。发现遗体的人，总是最难承受。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.9273} 所以那里就是他的死亡地点？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.47034} 也许他的需求变得更简朴了？我听说人上了年纪以后会这样。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.36596} 他没有给出任何解释？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.30809} 没有。但他不需要解释。您必须明白，他是一个存在于另一层面上的人。我们毫无疑问地接受了他的哀悼指示。现在我确信，他知道自己正在死去。随后，他把自己锁进焦点，说任何人不得打扰。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.24221} 他警告过你们……当然，他一定会这么做。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.11737} 谜团更多了。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.22706} 我也许知道一点缘由。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.2936} 那不重要。反正你也不会相信我。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.60613} 我知道此时来访看起来很不合时宜。但我认为，亲自致哀是我的职责。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.13716} 您的职责？对谁的职责？这份职责还包括什么？我们几乎不认识彼此，而您也根本不认识西蒙。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.6533} 我真正的职责是战胜死亡，而我曾希望西蒙能帮助我做到这一点。我也在为他哀悼，只不过是以我自己的方式。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.7334} 而您指望西蒙的家人来帮助您？为您照亮他的秘密？姑且说，让这一趟物有所值。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.16564} 我来这里不久，但我知道他对小镇意味着什么。他并非区区统治者，更像某座庞大而精密建筑的基石。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.60472} 如果这不是恭维，那也许您的确理解了西蒙——也理解了我们所有人。您为什么而来？您指望西蒙的家人来帮助您？为您照亮他的秘密？姑且说，让这一趟物有所值。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.36386} 我不是来作社交拜访的。你现在是统治家族之一的家主，我必须告知你：沙疫已经抵达这座小镇。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.58375} ……我必须承认，这是我最没有预料到的说法。您凭什么这样认为？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.21279} 你看起来并不特别惊讶。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.34336} 如果不采取措施，瘟疫会在三天内杀死所有人。小镇会消失。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.16020} 这并非我们第一次遭遇瘟疫暴发。五年前曾有过一场疫病。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.9160} 那你就会从经验中知道它有多危险。我们必须实施隔离，设立医院，并尽快采取进一步措施……
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.27258} ...
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.64976} 你沉默了，格奥尔基。为什么？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.43366} 您太不懂时机了，学者。现在不是谈论瘟疫的时候。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.30464} 你疯了吗？我在告诉你，小镇几乎已经注定要完了，瘟疫已经来了！而你……
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.30759} 您失礼了。控制自己。请环顾四周，并意识到自己身在何处。我们的家族正在承受巨大的丧失。我劝您记住这一点，并在斟酌接下来的话时把它放在心上。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.19752} 请原谅我的尖锐，但我不明白。成千上万条性命危在旦夕。无所作为会让它们全都提前中断。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.62102} 客套见鬼去吧！告诉所有人，我们没有多少时间了！
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.32669} 您仍在无礼。看来西蒙误判了您。这场谈话到此为止。请立刻离开炉宅。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.29690} 好吧，我承认。我不该提高声音。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.56888} Corrige praetertum, praesens rege, cerne futurum.（修正过往，统御当下，洞见未来。）
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.10374} 听我说！等到明天早晨，你无论如何都会承认我是对的。但那就太迟了。瘟疫已经抵达小镇……
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.57079} 如果你不愿正经谈谈瘟疫，那我就直说了：你隐瞒着关键信息。西蒙的遗体被盗这件事。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.39483} 你怎么……你怎么知道的？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.16648} 我早该猜到……你们已经知道那场迫近的疫病了，不是吗？可你看起来并不急着阻止它。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.33516} 今天我亲眼见到了瘟疫。它已经侵入后躯区的一栋房子。伊西多·布拉赫的房子。
